"gene_symbol"
"Nt5e"
"Nt5c1b"
"Nt5c1a"
"Nt5c"
"Nt5m"
"Nt5c3"
"Nt5c2"
"Entpd1"
"Entpd3"
"Aldh7a1"
"Adpgk"
"Hprt1"
"Entpd8"
"Ahcyl2"
"Ahcy"
"Ahcyl1"
"Ada"
"Pnp"
"Uck1"
"Uck2"
"Uckl1"
"Cmpk1"
"B4galt1"
"Cmpk2"
"Nme4"
"Nme1"
"Nme7"
"Nme2"
"Nme3"
"Nme6"
"Nme5"
"Dnmt1"
"Dnmt3a"
"Dnmt3b"
