"gene_symbol"
"Nt5e"
"Nt5c1b"
"Nt5c1a"
"Nt5c"
"Nt5m"
"Nt5c3"
"Nt5c2"
"Dck"
"Aldh7a1"
"Aprt"
"Hprt1"
"Ak1"
"Asns"
"Adsl"
"Ak4"
"Gmps"
"Ak7"
"Nudt2"
"Nudt5"
"Adk"
"Ak5"
"Slc27a5"
"Ak2"
"Rnf2"
"Ak8"
"Pnp"
"Uck1"
"Gne"
"Uck2"
"Uckl1"
"Uprt"
"Upp1"
"Upp2"
"Nme4"
"Nme1"
"Nme7"
"Nme2"
"Nme3"
"Nme6"
"Nme5"
