"gene_symbol","Thalamus_17_Male_3","Thalamus_21_Male_3","Thalamus_25_Male_3","Thalamus_29_Male_3","Thalamus_33_Male_3","Thalamus_37_Female_3","Thalamus_41_Female_3","Thalamus_45_Female_3","Thalamus_49_Female_3","Thalamus_53_Female_3","Thalamus_1_Female_12","Thalamus_10_Female_12","Thalamus_12_Male_12","Thalamus_13_Female_12","Thalamus_15_Male_12","Thalamus_3_Male_12","Thalamus_4_Female_12","Thalamus_6_Male_12","Thalamus_7_Female_12","Thalamus_9_Male_12","Thalamus_18_Male_15","Thalamus_22_Male_15","Thalamus_26_Male_15","Thalamus_30_Male_15","Thalamus_34_Male_15","Thalamus_38_Female_15","Thalamus_42_Female_15","Thalamus_46_Female_15","Thalamus_50_Female_15","Thalamus_54_Female_15","Thalamus_19_Male_18","Thalamus_23_Male_18","Thalamus_27_Male_18","Thalamus_31_Male_18","Thalamus_35_Male_18","Thalamus_39_Female_18","Thalamus_43_Female_18","Thalamus_47_Female_18","Thalamus_51_Female_18","Thalamus_55_Female_18","Thalamus_16_Male_21","Thalamus_20_Male_21","Thalamus_24_Male_21","Thalamus_28_Male_21","Thalamus_32_Male_21","Thalamus_36_Male_21","Thalamus_40_Female_21","Thalamus_44_Female_21","Thalamus_48_Female_21","Thalamus_52_Female_21","Thalamus_56_Female_21","Thalamus_11_Male_26","Thalamus_14_Male_26","Thalamus_2_Male_26","Thalamus_5_Male_26","Thalamus_8_Male_26","Thalamus_57_Male_28","Thalamus_58_Male_28","Thalamus_59_Male_28"
"Rnf2",166.92439405526,177.430506267603,203.14017777213,177.315944769382,188.481234896844,201.113388159344,176.07338476136,207.402645550207,161.233179377065,142.922224638093,170.701919600734,161.327834570022,176.796178579317,124.93874336124,164.996450648649,163.578420505858,162.022328775427,199.202056881773,155.295137379977,164.321468193047,184.392472272173,156.999330743253,211.670604175566,180.679786685057,180.653179422028,166.806832615183,163.837273348901,193.162088759406,191.061445264823,151.152780609436,166.513545225059,152.022730676858,153.800287758041,164.892387108608,196.487166222115,218.590688595488,154.319516922442,215.562479966112,172.201461295065,171.568615420062,255.521550723283,210.422348609353,148.73975290435,155.019900864532,152.249569980366,160.011969782897,180.833397482538,190.938774700574,196.318947400716,181.558845493566,161.691916784259,161.299418282606,146.666432688553,172.320749961036,159.127131175954,148.658222347471,180.885530861986,185.2747957269,161.912672981665
"Nme7",3600.79764319204,3385.88380468674,3266.71366957885,2950.21654839911,3342.10395697987,2849.79744355688,3014.29979346893,3063.6018441113,3183.37216355449,2819.03795345835,3852.50802863617,3910.14921076495,3872.19711941475,4139.86214488866,3092.04539825681,3253.17404957835,4353.28414946607,2385.68177646505,3580.41566737168,3216.90874270234,3137.18647143065,3781.4892566117,2671.99775660584,3980.85505520791,3249.71209926343,2977.43925284545,2901.72345137663,2947.82144150224,2883.42349075233,3410.55637702382,3080.07796345237,3357.16863578061,3273.03639407248,3156.37756914148,2931.80991402407,2651.29351328721,3459.83546863911,2737.64349556962,3099.62630331117,2680.75961593847,3018.13651291984,2613.06298363979,3267.10998914207,3374.15656562587,3238.34835348239,3010.95694359769,2939.77193913455,3059.72332069442,3445.08088341901,2779.16280963344,3348.61446314343,4035.79982867369,3623.05728317128,3563.1132286247,3929.37929250488,3177.73998228998,2901.53487287665,2736.43607610367,3790.37567450078
"Uck2",119.231710039471,150.962972183485,112.55063903591,166.623525989319,124.575580146412,127.510034760821,115.787388891981,153.345573039781,139.604338241117,108.809101061923,128.86321381624,136.7185038729,150.817964583988,141.822357328975,95.9004640954241,103.796748754721,140.703601304976,86.9532787975995,136.961683661507,124.821115262026,136.198985201037,158.687495589955,131.950506499054,146.018766382209,152.703064869941,92.8098166430341,133.0238412053,124.575549997008,161.162516807351,142.908083485285,125.09647052441,152.022730676858,119.714818579232,119.921736078988,113.464419931081,112.821000565413,146.21875487927,130.684753479455,116.510775940065,134.803912115763,110.477487447998,120.514617839902,132.213113692755,120.937511312755,125.605895233802,134.644218475853,145.322307342463,131.681913586603,99.7426910181055,117.028894384407,140.747367978008,136.441631218506,126.846644487397,114.51695408803,115.63238198786,150.022059249741,116.225092228063,133.506838097325,121.434504736249
"Nudt5",262.309762086837,262.714782760871,285.494303895967,261.964260111549,332.471191169969,285.083411050616,312.913026179156,251.530868007698,328.365133609389,298.783909943009,298.728359301284,284.374488055633,318.23312144277,260.007655103121,304.379733868085,302.193065994758,277.143457115862,290.898241795606,306.276520943843,304.942724627481,274.912413205785,330.880309953523,294.139670737474,293.512469798583,289.726797186272,303.513184156949,278.072436417859,261.748627521804,276.382777692244,313.29849071774,234.133259022038,278.70833957424,333.37251562689,262.328797672786,288.365672117527,292.62947021654,287.172014430477,307.17653395171,306.298769452499,265.012236318489,269.077070655553,265.897331424546,281.985781547829,294.647754834713,283.945448013383,291.729140031014,287.366667902764,290.640794987573,258.064422792876,311.712475696785,284.008081812765,290.007515747836,317.116611218492,334.82576100024,284.307141034371,305.499466108564,282.377864920294,274.279354458449,291.442811366997
"Ak8",11.9231710039471,12.7436275219825,59.4779799783264,59.6993381886864,10.5161204019698,47.6866796666485,28.2291567959789,47.4378391418026,10.8144205679739,21.7618202123845,5.02064469413923,19.140590542206,5.77293644340626,10.1301683806411,18.4653067512928,11.1680046128497,2.84249699606012,38.733733282567,3.23531536208285,18.96016940689,22.2109114327845,5.06449454010495,84.6682416702263,8.11215368790052,16.3610426646365,22.5753608050623,28.5587907672396,58.7884617963409,29.169686299973,21.9858589977362,32.1193640535647,25.3371217794763,9.97623488160269,30.917322582864,51.4741027004414,88.141406691729,18.2267145971389,83.5304609868684,20.5176209202631,67.4019560578815,80.6553435970045,59.3008436989995,17.559554162319,16.4914788153757,29.6886661461714,57.5652818121399,19.6676806929649,38.5639889789337,66.4951273454037,63.4362231242581,17.5934209972509,6.07634794900227,21.8017670212714,7.63446360586866,9.54762787055722,19.0937166317853,22.0991372546317,56.7631114359374,12.9530138385332
"Uck1",238.463420078943,239.188085797211,274.513753746122,232.560108466375,253.600288155195,233.250063586868,248.320887747679,227.260345656078,249.223237634671,265.847100972914,184.090305451772,218.74960619664,214.320265461457,185.719753645087,234.092437201874,191.82690276189,186.183553241938,226.078524873759,185.49141409275,213.301905827513,225.880778533412,231.278583998126,260.602250335631,203.541310714595,210.648424307195,262.125022681002,247.259004274259,251.950550555747,249.400817864769,217.110357602645,208.775866348171,240.702656905025,226.959343556461,269.823906177723,255.710058576386,317.309064090225,228.036451515315,235.771462462935,260.134122381907,260.416648405451,256.199326719897,285.026635843578,254.097077878264,222.08524804706,247.405551218095,246.847733872396,282.449747729523,230.443348776555,234.316163026661,246.088796602725,222.012217346262,214.329364019353,225.945585493176,226.852632860097,211.108660693432,249.582153115479,259.460241100676,252.936424558537,208.867348146348
"Ak1",441.157327146044,660.708073062786,541.70714072568,618.37821944699,666.964713186471,605.413498376581,541.138581970375,607.866264351936,609.048503805438,588.15730303742,598.293492718258,631.639487892799,665.330925102571,580.796320490089,564.085338499171,611.612487915477,697.833012532759,543.062750308644,589.905834353106,628.845618661852,591.313132672809,617.868333892804,567.936971723011,660.771791305352,655.805126807514,590.721941065798,665.870753151955,589.284343244275,595.790842676948,535.905313069819,605.196438482957,772.782214274028,601.899504523362,625.841560162217,604.959077974005,578.207627897743,606.342038931486,511.960889919516,601.605956269143,600.490153970217,580.854029097755,598.747228315705,609.419820927543,551.914824354574,590.728331523822,597.117838458129,610.790750409298,586.925100557429,601.622580744129,543.582808495798,611.580825142533,635.806953572874,634.233222436985,636.932392261043,617.4132689627,642.367180969347,548.385998540861,600.780771437961,594.219509842711
"Upp2",190.770736063154,210.759993632788,159.217977172751,163.950421294303,166.235595584985,183.490050021669,159.805735082321,190.854562128648,226.119702784908,207.619527972209,227.602559467645,257.030787281053,209.268946073477,195.849922025728,210.266234942141,220.732326465736,187.604801739968,177.858979358726,251.276159788434,210.141877593031,217.080228720422,197.515287064093,177.583389996643,248.526890256589,248.82419052468,194.398940265815,233.731156016092,186.16346235508,212.209467832303,244.592681349815,216.383084150331,190.028413346073,201.187403445654,207.052372448877,194.273226321021,179.808469651127,254.768966257785,169.755452973313,178.796410876578,173.100478057741,159.955135200782,170.250809329386,199.352585489857,200.096609626559,190.311962475458,217.577251595037,214.705514231533,189.998189603527,167.821035681257,187.027485418071,211.958833919261,210.462597142715,204.143818471905,206.130517358454,233.386459058065,244.126805506397,179.248557732013,200.260257145987,194.295207577998
"Uckl1",178.847565059207,234.286690596448,243.402194988228,220.085619889635,233.376979689869,225.993394941943,217.699429528312,212.918673357393,215.305282216935,233.498449305856,221.745140657816,207.812125886808,217.928350738586,175.589585264446,217.414095620061,214.819853435404,217.451020198599,226.078524873759,243.727090610241,188.021679951659,197.802833891967,195.827122217391,233.112561481662,244.102079154098,209.285004085142,225.753608050624,219.451760632473,218.357143814981,233.357490399784,222.606822352079,226.526041219878,272.374059129371,215.320402861258,211.736815264463,212.538230505048,243.270282469172,211.834927428969,243.855055461664,241.082045813091,212.928906637398,245.354910774081,258.245609656933,275.788291843482,222.08524804706,226.090611420844,231.236809991138,246.392333125754,229.502763679508,218.483989849184,230.776604814111,230.390036868762,203.281458657531,281.440992456412,201.767966726529,207.926118069913,200.484024633745,241.453536670976,234.772228899037,223.439488714698
"Gmps",775.006115256564,690.116444267362,667.068421603076,692.334116009094,715.500653503255,771.280210260575,664.581335417198,751.282987338781,740.787808906211,718.728224311727,569.843172784803,598.827046963303,630.693306442133,651.707499154577,640.329185730316,644.459560306212,639.561824113527,709.854948729494,630.886495606155,666.765957475632,791.211335567869,688.771257454273,780.707163452736,592.187219216738,768.969005237917,644.651969655669,887.577155160788,727.857146049935,796.332435989263,637.589910934348,759.876533793545,766.447933829159,730.759205077397,631.46289154092,720.083952830906,712.182566069171,751.750717606438,672.285484394312,713.720099154866,773.590632027958,591.698445043571,698.219611294672,638.341439547834,757.508593586258,670.659355763514,740.543201617189,687.822499790077,651.825472253683,639.619796370074,787.484149128721,633.363155901034,601.006051683134,669.908841199065,576.947321072075,639.691067327334,770.567849782762,732.545475662792,830.103741639148,749.65567590511
