"gene_symbol","age_num","age","mean_expression"
"Acsbg1",3,"3M",1984.88107739941
"Acsbg1",12,"12M",2255.41491341892
"Acsbg1",15,"15M",1993.24608869967
"Acsbg1",18,"18M",1881.1062502188
"Acsbg1",21,"21M",1982.73920569514
"Acsbg1",26,"26M",2187.66250073638
"Acsbg1",28,"28M",1980.97758633812
"Acsbg2",3,"3M",0.339852803483073
"Acsbg2",12,"12M",0
"Acsbg2",15,"15M",0.0549793777079391
"Acsbg2",18,"18M",0.146554435144736
"Acsbg2",21,"21M",0
"Acsbg2",26,"26M",0
"Acsbg2",28,"28M",0
"Acsl1",3,"3M",275.203737852505
"Acsl1",12,"12M",277.283063524451
"Acsl1",15,"15M",282.497143145211
"Acsl1",18,"18M",299.787509592376
"Acsl1",21,"21M",311.018330613437
"Acsl1",26,"26M",293.29718960485
"Acsl1",28,"28M",291.965377454406
"Acsl3",3,"3M",2949.88271443102
"Acsl3",12,"12M",3026.74430039399
"Acsl3",15,"15M",2819.72841430585
"Acsl3",18,"18M",2809.96472584929
"Acsl3",21,"21M",2746.3745978173
"Acsl3",26,"26M",3011.55142585273
"Acsl3",28,"28M",2996.87185880338
"Acsl4",3,"3M",340.413990003889
"Acsl4",12,"12M",319.760207324667
"Acsl4",15,"15M",354.549470294743
"Acsl4",18,"18M",322.651595999413
"Acsl4",21,"21M",306.16853288119
"Acsl4",26,"26M",346.732580320884
"Acsl4",28,"28M",364.81201243778
"Acsl5",3,"3M",173.31514630763
"Acsl5",12,"12M",186.827167865434
"Acsl5",15,"15M",186.249205385396
"Acsl5",18,"18M",178.240976938676
"Acsl5",21,"21M",170.497378018781
"Acsl5",26,"26M",178.392056599003
"Acsl5",28,"28M",188.552986137489
"Acsl6",3,"3M",1596.429847765
"Acsl6",12,"12M",1738.05195982347
"Acsl6",15,"15M",1580.75413729842
"Acsl6",18,"18M",1543.14893153327
"Acsl6",21,"21M",1525.08697235875
"Acsl6",26,"26M",1695.80419876959
"Acsl6",28,"28M",1544.57783435337
"Adsl",3,"3M",214.103674707012
"Adsl",12,"12M",249.615344240208
"Adsl",15,"15M",213.111150633863
"Adsl",18,"18M",220.111556814958
"Adsl",21,"21M",230.158770563886
"Adsl",26,"26M",232.378344239829
"Adsl",28,"28M",220.189308547775
"Ak1",3,"3M",588.053962510972
"Ak1",12,"12M",611.140526847473
