"gene_symbol","sample","expression","age_num","age"
"Atic","Thalamus_17_Male_3",71.5390260236828,3,"3M"
"Atic","Thalamus_21_Male_3",139.199623701655,3,"3M"
"Atic","Thalamus_25_Male_3",154.642747943649,3,"3M"
"Atic","Thalamus_29_Male_3",171.078700481012,3,"3M"
"Atic","Thalamus_33_Male_3",146.416753288964,3,"3M"
"Atic","Thalamus_37_Female_3",162.75671103617,3,"3M"
"Atic","Thalamus_41_Female_3",148.322688250058,3,"3M"
"Atic","Thalamus_45_Female_3",152.242367478343,3,"3M"
"Atic","Thalamus_49_Female_3",133.705563385859,3,"3M"
"Atic","Thalamus_53_Female_3",139.981438122906,3,"3M"
"Atic","Thalamus_1_Female_12",118.821924427962,12,"12M"
"Atic","Thalamus_10_Female_12",117.577913330694,12,"12M"
"Atic","Thalamus_12_Male_12",150.817964583988,12,"12M"
"Atic","Thalamus_13_Female_12",135.068911741881,12,"12M"
"Atic","Thalamus_15_Male_12",139.383283219436,12,"12M"
"Atic","Thalamus_3_Male_12",161.607596162414,12,"12M"
"Atic","Thalamus_4_Female_12",127.912364822705,12,"12M"
"Atic","Thalamus_6_Male_12",147.820573955919,12,"12M"
"Atic","Thalamus_7_Female_12",125.098860667203,12,"12M"
"Atic","Thalamus_9_Male_12",158.001411724083,12,"12M"
"Atic","Thalamus_18_Male_15",157.152675231966,15,"15M"
"Atic","Thalamus_22_Male_15",124.924198655922,15,"15M"
"Atic","Thalamus_26_Male_15",175.934008665405,15,"15M"
"Atic","Thalamus_30_Male_15",138.644081211391,15,"15M"
"Atic","Thalamus_34_Male_15",163.610426646365,15,"15M"
"Atic","Thalamus_38_Female_15",188.128006708853,15,"15M"
"Atic","Thalamus_42_Female_15",171.352744603438,15,"15M"
"Atic","Thalamus_46_Female_15",144.171703929122,15,"15M"
"Atic","Thalamus_50_Female_15",150.223884444861,15,"15M"
"Atic","Thalamus_54_Female_15",118.173992112832,15,"15M"
"Atic","Thalamus_19_Male_18",139.465659706268,18,"18M"
"Atic","Thalamus_23_Male_18",126.685608897382,18,"18M"
"Atic","Thalamus_27_Male_18",138.835935435637,18,"18M"
"Atic","Thalamus_31_Male_18",156.460390040554,18,"18M"
"Atic","Thalamus_35_Male_18",195.380196271568,18,"18M"
"Atic","Thalamus_39_Female_18",211.53937606015,18,"18M"
"Atic","Thalamus_43_Female_18",155.12959312676,18,"18M"
"Atic","Thalamus_47_Female_18",148.199204976702,18,"18M"
"Atic","Thalamus_51_Female_18",163.408195186381,18,"18M"
"Atic","Thalamus_55_Female_18",156.249989043271,18,"18M"
"Atic","Thalamus_16_Male_21",171.477327143211,21,"21M"
"Atic","Thalamus_20_Male_21",153.034435352257,21,"21M"
