"gene_symbol","sample","expression","age_num","age"
"Nme7","Thalamus_35_Male_18",2931.80991402407,18,"18M"
"Nme7","Thalamus_39_Female_18",2651.29351328721,18,"18M"
"Nme7","Thalamus_43_Female_18",3459.83546863911,18,"18M"
"Nme7","Thalamus_47_Female_18",2737.64349556962,18,"18M"
"Nme7","Thalamus_51_Female_18",3099.62630331117,18,"18M"
"Nme7","Thalamus_55_Female_18",2680.75961593847,18,"18M"
"Nme7","Thalamus_16_Male_21",3018.13651291984,21,"21M"
"Nme7","Thalamus_20_Male_21",2613.06298363979,21,"21M"
"Nme7","Thalamus_24_Male_21",3267.10998914207,21,"21M"
"Nme7","Thalamus_28_Male_21",3374.15656562587,21,"21M"
"Nme7","Thalamus_32_Male_21",3238.34835348239,21,"21M"
"Nme7","Thalamus_36_Male_21",3010.95694359769,21,"21M"
"Nme7","Thalamus_40_Female_21",2939.77193913455,21,"21M"
"Nme7","Thalamus_44_Female_21",3059.72332069442,21,"21M"
"Nme7","Thalamus_48_Female_21",3445.08088341901,21,"21M"
"Nme7","Thalamus_52_Female_21",2779.16280963344,21,"21M"
"Nme7","Thalamus_56_Female_21",3348.61446314343,21,"21M"
"Nme7","Thalamus_11_Male_26",4035.79982867369,26,"26M"
"Nme7","Thalamus_14_Male_26",3623.05728317128,26,"26M"
"Nme7","Thalamus_2_Male_26",3563.1132286247,26,"26M"
"Nme7","Thalamus_5_Male_26",3929.37929250488,26,"26M"
"Nme7","Thalamus_8_Male_26",3177.73998228998,26,"26M"
"Nme7","Thalamus_57_Male_28",2901.53487287665,28,"28M"
"Nme7","Thalamus_58_Male_28",2736.43607610367,28,"28M"
"Nme7","Thalamus_59_Male_28",3790.37567450078,28,"28M"
"Uck2","Thalamus_17_Male_3",119.231710039471,3,"3M"
"Uck2","Thalamus_21_Male_3",150.962972183485,3,"3M"
"Uck2","Thalamus_25_Male_3",112.55063903591,3,"3M"
"Uck2","Thalamus_29_Male_3",166.623525989319,3,"3M"
"Uck2","Thalamus_33_Male_3",124.575580146412,3,"3M"
"Uck2","Thalamus_37_Female_3",127.510034760821,3,"3M"
"Uck2","Thalamus_41_Female_3",115.787388891981,3,"3M"
"Uck2","Thalamus_45_Female_3",153.345573039781,3,"3M"
"Uck2","Thalamus_49_Female_3",139.604338241117,3,"3M"
"Uck2","Thalamus_53_Female_3",108.809101061923,3,"3M"
"Uck2","Thalamus_1_Female_12",128.86321381624,12,"12M"
"Uck2","Thalamus_10_Female_12",136.7185038729,12,"12M"
"Uck2","Thalamus_12_Male_12",150.817964583988,12,"12M"
"Uck2","Thalamus_13_Female_12",141.822357328975,12,"12M"
"Uck2","Thalamus_15_Male_12",95.9004640954241,12,"12M"
"Uck2","Thalamus_3_Male_12",103.796748754721,12,"12M"
"Uck2","Thalamus_4_Female_12",140.703601304976,12,"12M"
"Uck2","Thalamus_6_Male_12",86.9532787975995,12,"12M"
"Uck2","Thalamus_7_Female_12",136.961683661507,12,"12M"
"Uck2","Thalamus_9_Male_12",124.821115262026,12,"12M"
"Uck2","Thalamus_18_Male_15",136.198985201037,15,"15M"
"Uck2","Thalamus_22_Male_15",158.687495589955,15,"15M"
"Uck2","Thalamus_26_Male_15",131.950506499054,15,"15M"
"Uck2","Thalamus_30_Male_15",146.018766382209,15,"15M"
"Uck2","Thalamus_34_Male_15",152.703064869941,15,"15M"
