"gene_symbol","Thalamus_17_Male_3","Thalamus_21_Male_3","Thalamus_25_Male_3","Thalamus_29_Male_3","Thalamus_33_Male_3","Thalamus_37_Female_3","Thalamus_41_Female_3","Thalamus_45_Female_3","Thalamus_49_Female_3","Thalamus_53_Female_3","Thalamus_1_Female_12","Thalamus_10_Female_12","Thalamus_12_Male_12","Thalamus_13_Female_12","Thalamus_15_Male_12","Thalamus_3_Male_12","Thalamus_4_Female_12","Thalamus_6_Male_12","Thalamus_7_Female_12","Thalamus_9_Male_12","Thalamus_18_Male_15","Thalamus_22_Male_15","Thalamus_26_Male_15","Thalamus_30_Male_15","Thalamus_34_Male_15","Thalamus_38_Female_15","Thalamus_42_Female_15","Thalamus_46_Female_15","Thalamus_50_Female_15","Thalamus_54_Female_15","Thalamus_19_Male_18","Thalamus_23_Male_18","Thalamus_27_Male_18","Thalamus_31_Male_18","Thalamus_35_Male_18","Thalamus_39_Female_18","Thalamus_43_Female_18","Thalamus_47_Female_18","Thalamus_51_Female_18","Thalamus_55_Female_18","Thalamus_16_Male_21","Thalamus_20_Male_21","Thalamus_24_Male_21","Thalamus_28_Male_21","Thalamus_32_Male_21","Thalamus_36_Male_21","Thalamus_40_Female_21","Thalamus_44_Female_21","Thalamus_48_Female_21","Thalamus_52_Female_21","Thalamus_56_Female_21","Thalamus_11_Male_26","Thalamus_14_Male_26","Thalamus_2_Male_26","Thalamus_5_Male_26","Thalamus_8_Male_26","Thalamus_57_Male_28","Thalamus_58_Male_28","Thalamus_59_Male_28"
"Atic",71.5390260236828,139.199623701655,154.642747943649,171.078700481012,146.416753288964,162.75671103617,148.322688250058,152.242367478343,133.705563385859,139.981438122906,118.821924427962,117.577913330694,150.817964583988,135.068911741881,139.383283219436,161.607596162414,127.912364822705,147.820573955919,125.098860667203,158.001411724083,157.152675231966,124.924198655922,175.934008665405,138.644081211391,163.610426646365,188.128006708853,171.352744603438,144.171703929122,150.223884444861,118.173992112832,139.465659706268,126.685608897382,138.835935435637,156.460390040554,195.380196271568,211.53937606015,155.12959312676,148.199204976702,163.408195186381,156.249989043271,171.477327143211,153.034435352257,143.575178150726,161.616492390682,145.39833933125,159.036287040319,144.775982878769,157.077711206876,175.737122269995,167.340381689853,156.665225070758,143.62276970369,158.558305609246,122.151417693899,137.910180352493,169.115775881527,162.060339867299,173.922173439712,153.817039332582
"Acsl3",3338.4878811052,2971.22577070223,2700.30029101602,2715.87437013606,3219.9551738493,2939.98746814381,2726.26670209301,2819.79341503366,3259.07310753031,2807.86296470064,3259.23518061205,3114.44751822467,3212.63913075558,3170.74270314066,3062.26264543214,2576.52435832922,3192.12412657551,2325.60496565943,3263.35476188757,3090.50761332307,2860.59776302239,3094.40616400413,2388.30416763288,3059.75687737266,2735.70267554943,2786.80287271381,3008.44314319105,2595.09067072419,2612.14540816258,3056.03440068533,2763.95580145149,2730.07487173858,2791.68306103515,3339.07083894932,2365.59478431921,2735.90926371127,2881.84609685873,2834.64661155437,2901.04504369006,2755.82088518475,2259.02739671274,2611.15005319788,3221.66173131018,2771.66787290414,2782.3608913912,2662.63820449711,3135.90242160051,2842.44816327652,2387.49171516354,2673.07119509805,2862.7009308384,2997.84911993048,2901.61699264921,2833.47663543526,3077.51871694294,3247.29566430576,3305.04874941492,2847.23766962662,2838.32915736859
"Rnf2",166.92439405526,177.430506267603,203.14017777213,177.315944769382,188.481234896844,201.113388159344,176.07338476136,207.402645550207,161.233179377065,142.922224638093,170.701919600734,161.327834570022,176.796178579317,124.93874336124,164.996450648649,163.578420505858,162.022328775427,199.202056881773,155.295137379977,164.321468193047,184.392472272173,156.999330743253,211.670604175566,180.679786685057,180.653179422028,166.806832615183,163.837273348901,193.162088759406,191.061445264823,151.152780609436,166.513545225059,152.022730676858,153.800287758041,164.892387108608,196.487166222115,218.590688595488,154.319516922442,215.562479966112,172.201461295065,171.568615420062,255.521550723283,210.422348609353,148.73975290435,155.019900864532,152.249569980366,160.011969782897,180.833397482538,190.938774700574,196.318947400716,181.558845493566,161.691916784259,161.299418282606,146.666432688553,172.320749961036,159.127131175954,148.658222347471,180.885530861986,185.2747957269,161.912672981665
"Nme7",3600.79764319204,3385.88380468674,3266.71366957885,2950.21654839911,3342.10395697987,2849.79744355688,3014.29979346893,3063.6018441113,3183.37216355449,2819.03795345835,3852.50802863617,3910.14921076495,3872.19711941475,4139.86214488866,3092.04539825681,3253.17404957835,4353.28414946607,2385.68177646505,3580.41566737168,3216.90874270234,3137.18647143065,3781.4892566117,2671.99775660584,3980.85505520791,3249.71209926343,2977.43925284545,2901.72345137663,2947.82144150224,2883.42349075233,3410.55637702382,3080.07796345237,3357.16863578061,3273.03639407248,3156.37756914148,2931.80991402407,2651.29351328721,3459.83546863911,2737.64349556962,3099.62630331117,2680.75961593847,3018.13651291984,2613.06298363979,3267.10998914207,3374.15656562587,3238.34835348239,3010.95694359769,2939.77193913455,3059.72332069442,3445.08088341901,2779.16280963344,3348.61446314343,4035.79982867369,3623.05728317128,3563.1132286247,3929.37929250488,3177.73998228998,2901.53487287665,2736.43607610367,3790.37567450078
"Nudt5",262.309762086837,262.714782760871,285.494303895967,261.964260111549,332.471191169969,285.083411050616,312.913026179156,251.530868007698,328.365133609389,298.783909943009,298.728359301284,284.374488055633,318.23312144277,260.007655103121,304.379733868085,302.193065994758,277.143457115862,290.898241795606,306.276520943843,304.942724627481,274.912413205785,330.880309953523,294.139670737474,293.512469798583,289.726797186272,303.513184156949,278.072436417859,261.748627521804,276.382777692244,313.29849071774,234.133259022038,278.70833957424,333.37251562689,262.328797672786,288.365672117527,292.62947021654,287.172014430477,307.17653395171,306.298769452499,265.012236318489,269.077070655553,265.897331424546,281.985781547829,294.647754834713,283.945448013383,291.729140031014,287.366667902764,290.640794987573,258.064422792876,311.712475696785,284.008081812765,290.007515747836,317.116611218492,334.82576100024,284.307141034371,305.499466108564,282.377864920294,274.279354458449,291.442811366997
"Entpd8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03291495072465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ak8",11.9231710039471,12.7436275219825,59.4779799783264,59.6993381886864,10.5161204019698,47.6866796666485,28.2291567959789,47.4378391418026,10.8144205679739,21.7618202123845,5.02064469413923,19.140590542206,5.77293644340626,10.1301683806411,18.4653067512928,11.1680046128497,2.84249699606012,38.733733282567,3.23531536208285,18.96016940689,22.2109114327845,5.06449454010495,84.6682416702263,8.11215368790052,16.3610426646365,22.5753608050623,28.5587907672396,58.7884617963409,29.169686299973,21.9858589977362,32.1193640535647,25.3371217794763,9.97623488160269,30.917322582864,51.4741027004414,88.141406691729,18.2267145971389,83.5304609868684,20.5176209202631,67.4019560578815,80.6553435970045,59.3008436989995,17.559554162319,16.4914788153757,29.6886661461714,57.5652818121399,19.6676806929649,38.5639889789337,66.4951273454037,63.4362231242581,17.5934209972509,6.07634794900227,21.8017670212714,7.63446360586866,9.54762787055722,19.0937166317853,22.0991372546317,56.7631114359374,12.9530138385332
"Ak1",441.157327146044,660.708073062786,541.70714072568,618.37821944699,666.964713186471,605.413498376581,541.138581970375,607.866264351936,609.048503805438,588.15730303742,598.293492718258,631.639487892799,665.330925102571,580.796320490089,564.085338499171,611.612487915477,697.833012532759,543.062750308644,589.905834353106,628.845618661852,591.313132672809,617.868333892804,567.936971723011,660.771791305352,655.805126807514,590.721941065798,665.870753151955,589.284343244275,595.790842676948,535.905313069819,605.196438482957,772.782214274028,601.899504523362,625.841560162217,604.959077974005,578.207627897743,606.342038931486,511.960889919516,601.605956269143,600.490153970217,580.854029097755,598.747228315705,609.419820927543,551.914824354574,590.728331523822,597.117838458129,610.790750409298,586.925100557429,601.622580744129,543.582808495798,611.580825142533,635.806953572874,634.233222436985,636.932392261043,617.4132689627,642.367180969347,548.385998540861,600.780771437961,594.219509842711
"Slc27a2",35.7695130118414,50.9745100879301,51.2425673659427,55.2441636969934,65.5235194276581,51.8333474637483,83.2520895339038,43.0250168960536,46.2070696995248,71.7551909705652,34.3077387432847,46.4842913167861,39.688938048418,54.0275646967525,76.2438472311446,95.2565099331302,27.0037214625711,86.9532787975995,60.3925534255465,72.6806493930784,57.8321844853633,37.1396266274363,57.7283465933361,50.1478591615669,34.7672156623526,50.1674684556941,53.3598459072108,57.3887365154757,45.9422559224575,57.7128798690574,61.7029888397428,31.6714022243454,74.8217616120202,53.4026480976742,47.0462228982529,52.8848440150374,44.5541912374506,63.3214784900454,59.3545462336182,61.274505507165,63.7109436816675,68.8654959085156,44.41534288116,41.7784129989518,50.2423580935209,46.8327716437748,59.5493665425881,59.2568611139712,34.8307809904496,51.405215290347,57.8069547052531,32.5913208173758,53.5134281431206,70.8914477687805,43.494749188094,45.0066177749224,53.2016267241134,51.3138527380874,37.239914785783
"Entpd6",381.541472126308,336.235710772308,336.736871261909,350.176715047071,381.816063825366,404.300110217237,376.0697837566,327.652051746869,358.350572456953,418.179842459605,278.645780524727,314.452558907671,280.709034560629,320.788665386968,378.83661592975,327.156841011716,308.410924072523,435.556878340703,312.747151668009,383.943430489523,364.175132737541,319.063156026612,355.716573770366,283.187910559436,351.762417289685,353.680652612643,368.2580914723,373.726649991024,412.021818987118,294.060864094721,357.539236701523,405.393948471621,313.420045863685,359.765208236963,369.72796348274,370.193908105262,339.8269677111,347.594498945355,345.868466941578,421.26222536176,404.63226997825,363.45678396161,327.434039379714,321.034120939314,293.841670062107,395.15151074435,378.602853339574,277.472603628913,264.397292063867,378.429882775746,327.572743329768,250.787451713367,325.044526498955,332.644485684278,270.516122999121,365.508289808461,374.048360198767,401.428724074949,262.298530230298
