"gene_symbol"
"Nt5e"
"Nt5c1b"
"Nt5c1a"
"Nt5c"
"Nt5m"
"Nt5c3"
"Nt5c2"
"Entpd1"
"Cant1"
"Entpd3"
"Ak1"
"Acsl4"
"Ak3"
"Acsl1"
"Adsl"
"Ak4"
"Ak7"
"Acsl6"
"Nudt5"
"Acsl5"
"Acsl3"
"Ak5"
"Slc27a2"
"Ak2"
"Entpd8"
"Acsbg2"
"Acsbg1"
"Rnf2"
"Ak8"
"Entpd4"
"Entpd6"
"Entpd5"
"Atic"
"Cmpk1"
"B4galt1"
"Cmpk2"
"Nme4"
"Nme1"
"Nme7"
"Nme2"
"Nme3"
"Nme6"
"Dctpp1"
"Nme5"
