"gene_symbol","age_num","age","mean_expression"
"Ada",3,"3M",5.14841283887654
"Ada",12,"12M",2.76555417762622
"Ada",15,"15M",4.15625879084854
"Ada",18,"18M",3.22290417949925
"Ada",21,"21M",2.9486695888138
"Ada",26,"26M",3.50302795516335
"Ada",28,"28M",2.59904959155479
"Adpgk",3,"3M",300.681858934087
"Adpgk",12,"12M",305.265878461308
"Adpgk",15,"15M",305.596032547488
"Adpgk",18,"18M",295.84774655377
"Adpgk",21,"21M",288.899911389444
"Adpgk",26,"26M",306.113175123333
"Adpgk",28,"28M",294.603022789357
"Ahcy",3,"3M",190.108987365934
"Ahcy",12,"12M",183.392868288316
"Ahcy",15,"15M",188.887528330645
"Ahcy",18,"18M",180.1704821575
"Ahcy",21,"21M",193.006744014133
"Ahcy",26,"26M",191.822953315942
"Ahcy",28,"28M",197.587166088684
"Ahcyl1",3,"3M",2664.65599558288
"Ahcyl1",12,"12M",2897.84364599374
"Ahcyl1",15,"15M",2759.7111788478
"Ahcyl1",18,"18M",2653.42137585815
"Ahcyl1",21,"21M",2634.44073602308
"Ahcyl1",26,"26M",2831.32265953332
"Ahcyl1",28,"28M",2725.89207035537
"Ahcyl2",3,"3M",683.693659136992
"Ahcyl2",12,"12M",793.272685318648
"Ahcyl2",15,"15M",694.543251034399
"Ahcyl2",18,"18M",679.478804759511
"Ahcyl2",21,"21M",685.916199540275
"Ahcyl2",26,"26M",752.600064290225
"Ahcyl2",28,"28M",675.210430513616
"Aldh7a1",3,"3M",464.478369624972
"Aldh7a1",12,"12M",458.794703981194
"Aldh7a1",15,"15M",443.846794660826
"Aldh7a1",18,"18M",433.480588456597
"Aldh7a1",21,"21M",455.979273476855
"Aldh7a1",26,"26M",457.110321301984
"Aldh7a1",28,"28M",419.437110446271
"B4galt1",3,"3M",20.2670664505966
"B4galt1",12,"12M",15.8628867284727
"B4galt1",15,"15M",16.6131468719823
"B4galt1",18,"18M",18.9586810541856
"B4galt1",21,"21M",20.8941139645015
"B4galt1",26,"26M",13.6624564175008
"B4galt1",28,"28M",17.4899123351704
"Cmpk1",3,"3M",1008.43333816475
"Cmpk1",12,"12M",1013.38926945831
"Cmpk1",15,"15M",951.61690638993
"Cmpk1",18,"18M",932.750340778869
"Cmpk1",21,"21M",935.948815522706
"Cmpk1",26,"26M",1007.23579708712
"Cmpk1",28,"28M",1011.95881396826
"Cmpk2",3,"3M",197.902405091369
"Cmpk2",12,"12M",227.784712809882
"Cmpk2",15,"15M",193.643553815404
"Cmpk2",18,"18M",195.464884289872
"Cmpk2",21,"21M",200.267407149532
"Cmpk2",26,"26M",216.431153903402
"Cmpk2",28,"28M",181.982964278836
"Dnmt1",3,"3M",227.24021933377
"Dnmt1",12,"12M",221.09706981861
"Dnmt1",15,"15M",227.212858608674
"Dnmt1",18,"18M",226.97119972985
"Dnmt1",21,"21M",229.500940993597
"Dnmt1",26,"26M",205.006032414306
"Dnmt1",28,"28M",236.661253184471
"Dnmt3a",3,"3M",565.091203106656
"Dnmt3a",12,"12M",518.433041346515
"Dnmt3a",15,"15M",539.967266061431
"Dnmt3a",18,"18M",536.165972810503
"Dnmt3a",21,"21M",532.249327522887
"Dnmt3a",26,"26M",497.823747497619
"Dnmt3a",28,"28M",519.373418428327
"Dnmt3b",3,"3M",3.51713677521161
"Dnmt3b",12,"12M",3.08142425750657
"Dnmt3b",15,"15M",3.00729619288732
"Dnmt3b",18,"18M",5.61275153695271
"Dnmt3b",21,"21M",4.23653480251991
"Dnmt3b",26,"26M",4.03178693746029
"Dnmt3b",28,"28M",4.00699254554984
"Entpd1",3,"3M",59.377802682366
"Entpd1",12,"12M",62.2155887635579
"Entpd1",15,"15M",57.2772178110952
"Entpd1",18,"18M",63.047850840605
"Entpd1",21,"21M",68.6971967913504
"Entpd1",26,"26M",63.8595060644247
"Entpd1",28,"28M",52.7903512186928
"Entpd3",3,"3M",77.5670380309519
"Entpd3",12,"12M",85.9423670296341
"Entpd3",15,"15M",79.2023439277244
"Entpd3",18,"18M",70.6842157152149
"Entpd3",21,"21M",80.2030289169699
"Entpd3",26,"26M",85.8139620882347
"Entpd3",28,"28M",84.8089017026336
"Entpd8",3,"3M",0
"Entpd8",12,"12M",0
"Entpd8",15,"15M",0
"Entpd8",18,"18M",0
"Entpd8",21,"21M",0.0939013591567864
"Entpd8",26,"26M",0
"Entpd8",28,"28M",0
"Nme1",3,"3M",1712.16930251034
"Nme1",12,"12M",1719.37398197774
"Nme1",15,"15M",1678.45748621061
"Nme1",18,"18M",1683.17602290052
"Nme1",21,"21M",1702.06403651668
"Nme1",26,"26M",1735.0659496088
"Nme1",28,"28M",1771.43289368119
"Nme2",3,"3M",553.256628867287
"Nme2",12,"12M",553.547750720424
"Nme2",15,"15M",543.392721187272
"Nme2",18,"18M",558.241686211884
"Nme2",21,"21M",529.643575303684
"Nme2",26,"26M",551.983607972238
"Nme2",28,"28M",560.881631002524
"Nme3",3,"3M",170.019489540512
"Nme3",12,"12M",138.744073509616
"Nme3",15,"15M",157.224967470947
"Nme3",18,"18M",154.802956069654
"Nme3",21,"21M",146.884993075086
"Nme3",26,"26M",143.1678983348
"Nme3",28,"28M",153.366198192533
"Nme4",3,"3M",12.6023088896641
"Nme4",12,"12M",12.5495878652376
"Nme4",15,"15M",13.8864933835284
"Nme4",18,"18M",13.3061369363483
"Nme4",21,"21M",14.9593674889812
"Nme4",26,"26M",11.4710447820732
