"gene_symbol","Thalamus_17_Male_3","Thalamus_21_Male_3","Thalamus_25_Male_3","Thalamus_29_Male_3","Thalamus_33_Male_3","Thalamus_37_Female_3","Thalamus_41_Female_3","Thalamus_45_Female_3","Thalamus_49_Female_3","Thalamus_53_Female_3","Thalamus_1_Female_12","Thalamus_10_Female_12","Thalamus_12_Male_12","Thalamus_13_Female_12","Thalamus_15_Male_12","Thalamus_3_Male_12","Thalamus_4_Female_12","Thalamus_6_Male_12","Thalamus_7_Female_12","Thalamus_9_Male_12","Thalamus_18_Male_15","Thalamus_22_Male_15","Thalamus_26_Male_15","Thalamus_30_Male_15","Thalamus_34_Male_15","Thalamus_38_Female_15","Thalamus_42_Female_15","Thalamus_46_Female_15","Thalamus_50_Female_15","Thalamus_54_Female_15","Thalamus_19_Male_18","Thalamus_23_Male_18","Thalamus_27_Male_18","Thalamus_31_Male_18","Thalamus_35_Male_18","Thalamus_39_Female_18","Thalamus_43_Female_18","Thalamus_47_Female_18","Thalamus_51_Female_18","Thalamus_55_Female_18","Thalamus_16_Male_21","Thalamus_20_Male_21","Thalamus_24_Male_21","Thalamus_28_Male_21","Thalamus_32_Male_21","Thalamus_36_Male_21","Thalamus_40_Female_21","Thalamus_44_Female_21","Thalamus_48_Female_21","Thalamus_52_Female_21","Thalamus_56_Female_21","Thalamus_11_Male_26","Thalamus_14_Male_26","Thalamus_2_Male_26","Thalamus_5_Male_26","Thalamus_8_Male_26","Thalamus_57_Male_28","Thalamus_58_Male_28","Thalamus_59_Male_28"
"Nme7",3600.79764319204,3385.88380468674,3266.71366957885,2950.21654839911,3342.10395697987,2849.79744355688,3014.29979346893,3063.6018441113,3183.37216355449,2819.03795345835,3852.50802863617,3910.14921076495,3872.19711941475,4139.86214488866,3092.04539825681,3253.17404957835,4353.28414946607,2385.68177646505,3580.41566737168,3216.90874270234,3137.18647143065,3781.4892566117,2671.99775660584,3980.85505520791,3249.71209926343,2977.43925284545,2901.72345137663,2947.82144150224,2883.42349075233,3410.55637702382,3080.07796345237,3357.16863578061,3273.03639407248,3156.37756914148,2931.80991402407,2651.29351328721,3459.83546863911,2737.64349556962,3099.62630331117,2680.75961593847,3018.13651291984,2613.06298363979,3267.10998914207,3374.15656562587,3238.34835348239,3010.95694359769,2939.77193913455,3059.72332069442,3445.08088341901,2779.16280963344,3348.61446314343,4035.79982867369,3623.05728317128,3563.1132286247,3929.37929250488,3177.73998228998,2901.53487287665,2736.43607610367,3790.37567450078
"Uck2",119.231710039471,150.962972183485,112.55063903591,166.623525989319,124.575580146412,127.510034760821,115.787388891981,153.345573039781,139.604338241117,108.809101061923,128.86321381624,136.7185038729,150.817964583988,141.822357328975,95.9004640954241,103.796748754721,140.703601304976,86.9532787975995,136.961683661507,124.821115262026,136.198985201037,158.687495589955,131.950506499054,146.018766382209,152.703064869941,92.8098166430341,133.0238412053,124.575549997008,161.162516807351,142.908083485285,125.09647052441,152.022730676858,119.714818579232,119.921736078988,113.464419931081,112.821000565413,146.21875487927,130.684753479455,116.510775940065,134.803912115763,110.477487447998,120.514617839902,132.213113692755,120.937511312755,125.605895233802,134.644218475853,145.322307342463,131.681913586603,99.7426910181055,117.028894384407,140.747367978008,136.441631218506,126.846644487397,114.51695408803,115.63238198786,150.022059249741,116.225092228063,133.506838097325,121.434504736249
"Entpd8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03291495072465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uck1",238.463420078943,239.188085797211,274.513753746122,232.560108466375,253.600288155195,233.250063586868,248.320887747679,227.260345656078,249.223237634671,265.847100972914,184.090305451772,218.74960619664,214.320265461457,185.719753645087,234.092437201874,191.82690276189,186.183553241938,226.078524873759,185.49141409275,213.301905827513,225.880778533412,231.278583998126,260.602250335631,203.541310714595,210.648424307195,262.125022681002,247.259004274259,251.950550555747,249.400817864769,217.110357602645,208.775866348171,240.702656905025,226.959343556461,269.823906177723,255.710058576386,317.309064090225,228.036451515315,235.771462462935,260.134122381907,260.416648405451,256.199326719897,285.026635843578,254.097077878264,222.08524804706,247.405551218095,246.847733872396,282.449747729523,230.443348776555,234.316163026661,246.088796602725,222.012217346262,214.329364019353,225.945585493176,226.852632860097,211.108660693432,249.582153115479,259.460241100676,252.936424558537,208.867348146348
"Dnmt3b",0,3.92111616061001,4.57522922910203,0,3.64019552375879,7.25666864492477,6.69844398548651,2.20641112287454,3.93251657017232,2.9407865151871,1.67354823137974,2.73437007745801,5.77293644340626,0,1.78696516947995,3.28470723907346,2.84249699606012,6.3238748216436,3.23531536208285,3.16002823448167,3.77166420556717,1.68816484670165,4.94814399371452,4.4248111024912,4.09026066615913,2.50837342278471,2.25464137636102,4.19917584259578,2.18772647249797,0,3.38098568984892,19.0028413346073,4.98811744080135,3.74755425246837,5.53484975273564,0,6.07557153237962,6.736327498941,5.12940523006577,1.53186263767913,7.45553596274832,1.91293044190321,6.1974897043479,2.19886384205009,4.56748709941099,2.92704822773593,5.46324463693468,2.82175529114149,4.74965195324312,3.281183954703,5.02669171350027,1.10479053618223,3.96395764023116,8.7251012638499,6.36508524703815,0,3.27394625994544,2.27052445743749,6.4765069192666
"Ahcy",166.92439405526,219.58250499416,187.584398393183,201.373887024524,182.818708526552,156.53670934052,219.613270667022,188.648151005773,174.505422801397,203.502426850947,182.416757220392,147.655984182732,199.887924352942,205.980090406369,172.739966383062,167.520069192746,180.498559249818,199.202056881773,175.785468006501,202.241807006827,194.450243487019,180.633638597077,188.029471761152,214.603338470823,204.513033307957,170.56939274936,210.433195127029,209.958792129789,183.76902368983,131.915153986417,171.585023759833,152.022730676858,162.113816826044,179.882604118482,204.789440851219,151.603219509774,191.177984218879,194.006231969501,184.658588282368,209.86518136204,186.388399068708,219.987000818869,182.825946278263,211.090928836809,204.775671623593,182.452672862206,173.731179454523,172.127072759631,194.735730082968,205.620861161388,189.33872120851,181.185647933886,204.143818471905,184.317764198829,202.621880364048,186.845655611041,193.981315901767,209.342354975737,189.437827388548
"Ada",0,1.960558080305,7.32036676656324,6.23724428837022,6.47145870890451,5.18333474637484,9.56920569355216,5.51602780718635,3.93251657017232,5.29341572733678,2.51032234706961,2.73437007745801,3.60808527712891,0,4.16958539545322,3.94164868688815,1.42124849803006,5.53339046893815,2.15687690805523,1.58001411724083,5.0288856074229,5.06449454010495,5.49793777079391,5.89974813665493,3.40855055513261,3.76256013417706,3.75773562726837,0,3.64621078749662,5.49646474943404,2.53573926738669,6.33428044486908,4.15676453400112,1.87377712623418,2.21393990109425,0,1.21511430647592,4.0417964993646,2.19831652717105,7.65931318839563,2.03332798984045,1.91293044190321,1.03291495072465,1.09943192102505,4.56748709941099,1.95136548515728,3.82427124585428,4.70292548523581,1.58321731774771,2.187455969802,7.5400375702504,3.86676687663781,1.98197882011558,5.45318828990619,2.12169508234605,4.09151070681113,1.63697312997272,4.54104891487499,1.61912672981665
"Uckl1",178.847565059207,234.286690596448,243.402194988228,220.085619889635,233.376979689869,225.993394941943,217.699429528312,212.918673357393,215.305282216935,233.498449305856,221.745140657816,207.812125886808,217.928350738586,175.589585264446,217.414095620061,214.819853435404,217.451020198599,226.078524873759,243.727090610241,188.021679951659,197.802833891967,195.827122217391,233.112561481662,244.102079154098,209.285004085142,225.753608050624,219.451760632473,218.357143814981,233.357490399784,222.606822352079,226.526041219878,272.374059129371,215.320402861258,211.736815264463,212.538230505048,243.270282469172,211.834927428969,243.855055461664,241.082045813091,212.928906637398,245.354910774081,258.245609656933,275.788291843482,222.08524804706,226.090611420844,231.236809991138,246.392333125754,229.502763679508,218.483989849184,230.776604814111,230.390036868762,203.281458657531,281.440992456412,201.767966726529,207.926118069913,200.484024633745,241.453536670976,234.772228899037,223.439488714698
"Ahcyl1",2790.02201492363,2684.00401193755,2682.91441994543,2390.64663224247,2606.7844611806,2615.51071302074,2613.82853519377,2518.61829676129,2821.08907452737,2923.14179609598,3044.18423287975,2862.88547109853,3058.93469794989,2961.38588994075,2831.14848351274,2834.04540587258,3084.10924072523,2663.93226861737,2978.64701002427,2659.16375931632,2962.4326965727,3192.31972511282,2466.37488397815,2957.24875349828,2573.45566912512,2651.35070788343,2755.92330903862,2572.69506623035,2585.16344833511,2880.14752870344,2698.02658049944,2730.07487173858,2860.68535229957,2627.97241954344,2408.21312741528,2619.56260687819,2949.48745991923,2400.82712062257,2716.38645540769,2522.97776425752,2531.49334735136,2641.75694026833,2899.39226668409,2650.73036159139,2655.99374830749,2548.48332361541,2775.87460002651,2711.70683478697,2332.07910904237,2517.7618212421,2713.5757433379,2912.78024864445,2758.91451760088,2858.56130156882,2815.48937427321,2810.86785557924,2638.80068551603,2651.97256628699,2886.90295926309
"B4galt1",23.8463420078943,12.7436275219825,22.8761461455101,24.9489771534809,21.0322408039396,17.6233381376744,18.6599511024267,26.4769334744945,19.1710182795901,15.2920898789729,13.3883858510379,10.937480309832,17.3188093302188,13.5068911741881,15.4870314688262,15.7665947475526,5.68499399212024,24.505014933869,18.3334537184695,23.7002117586125,15.9248044235058,18.5698133137182,26.3901012998108,15.4868388587192,19.0878831087426,20.0669873822776,9.01856550544408,18.1964286512484,12.3971166774885,10.9929294988681,15.2144356043201,6.33428044486908,21.6151755768058,18.7377712623418,22.6928839862161,21.153937606015,16.2015240863457,32.3343719949168,15.3882156901973,19.9142142898286,33.2110238340607,17.2163739771289,14.4608093101451,7.69602344717533,21.3149397972513,17.5622893664156,15.8434094471106,31.9798932996035,31.6643463549541,22.968287682921,15.9178570927509,16.5718580427335,11.8918729206935,16.3595648697186,8.4867803293842,15.0022059249741,18.8251909946863,19.072405442475,14.5721405683499
