"","3","12","15","18","21","26","28"
"Acsbg1",1830.18468942999,1817.76413563719,1812.51338312768,1834.10472522864,1846.43093517668,1869.95448098045,1759.80420285044
"Acsbg2",0.160527703878327,0.121315499276343,0.0381138287117925,0.156853635373242,0.0996680991260753,0.157794332901892,0.176108681529242
"Acsl1",363.372652003017,364.636336638864,374.030453942139,380.780322633349,394.101359330186,380.583482187202,390.273855293856
"Acsl3",1807.78568892732,1786.06525919224,1759.64835299136,1780.72546101309,1776.40304369263,1824.95669117307,1749.18736893256
"Acsl4",203.362270245195,195.336227807419,196.214962970417,190.761753983386,189.785217883648,191.54013443922,203.231223166605
"Acsl5",238.833625498668,246.51042194183,242.05658017991,247.394931678938,246.89727726577,246.065265759233,249.46106384585
"Acsl6",1264.84876723861,1240.30796582254,1251.26622661516,1252.66478157564,1249.4600544834,1254.34350100522,1252.83672838736
"Ada",4.90444913910749,4.32500020705207,4.78342123092281,4.76011332284097,4.83708339270423,5.09696214275021,5.49157720543355
"Adk",808.848096773802,831.622810653273,837.634731151513,846.766205705242,830.915911721692,861.528514595236,832.813161651298
"Adpgk",211.379329646444,211.322760844527,214.617072098215,212.156013529522,213.659269537227,209.533708974036,209.103732542424
"Adsl",235.273474161705,244.455366681574,240.603877528219,246.064435235024,244.290896982454,246.292057942125,245.704772542137
"Ahcy",163.016208477629,162.20719544804,164.714723214323,167.928984317021,169.085100175758,166.338252694237,168.792767449564
"Ahcyl1",2434.05685805938,2388.45957345055,2413.29672107043,2406.82202839094,2394.99024021902,2449.54757474207,2359.41896156817
"Ahcyl2",822.837953559604,810.120858982141,839.674806739492,806.724338948643,830.240440573605,840.065523327557,868.713241486361
"Ak1",657.04220035218,645.494167212397,643.733292685289,653.58723258333,637.388410861883,653.918821995242,637.641512318779
"Ak2",162.09929087366,164.215909388666,164.050447190331,161.976528513574,165.410397831984,164.521388268649,162.944964147956
"Ak3",838.168515381724,797.44068550354,837.687954878115,832.264568425864,859.475063347855,849.614217146902,847.413114019674
