"","young","mid","old"
"M-105",-0.563732756028541,1.15459430516875,-0.590861549140206
"M-111",-0.795220781442753,1.12267447862753,-0.327453697184782
"M-136",-1.05702663956953,0.931031657789704,0.125994981779828
"M-141",-0.800042698323736,1.12109607527849,-0.321053376954748
"M-142",-0.313749706397676,1.1192525551961,-0.805502848798422
"M-144",-0.698835611889444,1.14548412897713,-0.446648517087676
"M-146",-0.795700447630549,1.12251952648402,-0.326819078853472
"M-151",-0.920027789709217,1.06429996090452,-0.144272171195302
"M-152",-0.158529367712497,1.06979551612726,-0.911266148414763
"M-165",-0.143801426682885,1.06411584236487,-0.920314415681984
"M-169",-0.778103640722838,1.12791313564352,-0.349809494920683
"M-170",-0.286552164924732,1.11199476845057,-0.825442603525838
"M-39",-0.0190549527727237,1.009391307906,-0.990336355133272
"M-42",-0.614374982082275,1.1538914157064,-0.539516433624122
"M-43",0.0608090069576313,0.968207883037903,-1.02901688999554
"M-53",-0.216384988576114,1.09047715391539,-0.874092165339278
"M-54",-0.821869318447709,1.11335769240665,-0.291488373958945
"M-61",-0.625720696410352,1.15330975629754,-0.527589059887189
