"Sample","age"
"Caudate putamen_13_Female_12",12
"Caudate putamen_15_Male_12",12
"Caudate putamen_3_Male_12",12
"Caudate putamen_4_Female_12",12
"Caudate putamen_6_Male_12",12
"Caudate putamen_7_Female_12",12
"Caudate putamen_9_Male_12",12
"Entorhinal cortex_1_Female_12",12
"Entorhinal cortex_10_Female_12",12
"Entorhinal cortex_12_Male_12",12
"Entorhinal cortex_13_Female_12",12
"Entorhinal cortex_15_Male_12",12
"Entorhinal cortex_7_Female_12",12
"Entorhinal cortex_9_Male_12",12
"Hippocampus (posterior)_1_Female_12",12
"Hippocampus (posterior)_10_Female_12",12
"Hippocampus (posterior)_12_Male_12",12
"Hippocampus (posterior)_13_Female_12",12
"Hippocampus (posterior)_15_Male_12",12
"Hippocampus (posterior)_3_Male_12",12
"Hippocampus (posterior)_4_Female_12",12
"Hippocampus (posterior)_6_Male_12",12
"Hippocampus (posterior)_7_Female_12",12
"Hippocampus (posterior)_9_Male_12",12
"Hippocampus (anterior)_1_Female_12",12
"Hippocampus (anterior)_10_Female_12",12
"Hippocampus (anterior)_12_Male_12",12
"Hippocampus (anterior)_13_Female_12",12
"Hippocampus (anterior)_15_Male_12",12
"Hippocampus (anterior)_4_Female_12",12
"Hippocampus (anterior)_6_Male_12",12
"Hippocampus (anterior)_7_Female_12",12
"Hippocampus (anterior)_9_Male_12",12
"Hypothalamus_1_Female_12",12
"Hypothalamus_10_Female_12",12
"Hypothalamus_12_Male_12",12
"Hypothalamus_15_Male_12",12
"Hypothalamus_3_Male_12",12
"Hypothalamus_4_Female_12",12
"Hypothalamus_6_Male_12",12
"Hypothalamus_7_Female_12",12
"Hypothalamus_9_Male_12",12
"Medulla_1_Female_12",12
"Medulla_10_Female_12",12
"Medulla_12_Male_12",12
"Medulla_13_Female_12",12
"Medulla_15_Male_12",12
"Medulla_3_Male_12",12
"Medulla_6_Male_12",12
"Medulla_7_Female_12",12
"Medulla_9_Male_12",12
"Olfactory bulb_1_Female_12",12
"Olfactory bulb_10_Female_12",12
"Olfactory bulb_12_Male_12",12
"Olfactory bulb_13_Female_12",12
"Olfactory bulb_15_Male_12",12
"Olfactory bulb_3_Male_12",12
"Olfactory bulb_4_Female_12",12
"Olfactory bulb_6_Male_12",12
"Olfactory bulb_7_Female_12",12
"Olfactory bulb_9_Male_12",12
"Choroid Plexus_10_Female_12",12
"Choroid Plexus_12_Male_12",12
"Choroid Plexus_13_Female_12",12
"Choroid Plexus_15_Male_12",12
"Choroid Plexus_3_Male_12",12
"Choroid Plexus_4_Female_12",12
"Choroid Plexus_7_Female_12",12
"Choroid Plexus_9_Male_12",12
"Pons_1_Female_12",12
