"","age","region","bio","AMPdGMP","AdG","C","G","GMP","I","UMPpseudoUMP","UpseudoU","ca5dC","dA","dAMP","dCTP","dITP","f5dC","f5dCTP","m6Am","m6dA","mA","mChm5dC","mG","mU"
"1","15M","anterior olfactory","1",60.8439288959438,45.770146189717,2.20739219869828,0.957514571365903,8.18734476900748,134.829817707102,0.796106118566103,2.22472908573638,0,2.43790330126301,0.830455277852734,0.855924969162796,0,0,0,1.50832542132565,0.942267935687694,1.18853775815152,497.672209397845,0,0.68703668308919
"2","15M","anterior olfactory","2",56.9100683695565,22.2574569707343,1.41279152848389,0,4.29377889458137,119.583300804529,1.43920413845203,4.22331553528474,0,2.86057871922082,0,0,0,0.363615859587351,0,0,2.47283615681566,3.52420397291093,559.95117186579,0,0.447582298851983
"3","15M","anterior olfactory","3",63.5560711925748,22.7682522777878,0,0,10.4641443578449,103.330896376648,0.770226569210963,5.38237137554815,0,4.5723096718652,0.54059616584735,0,0,0.426984072250933,0,0,2.06872710181275,0.991075090315106,601.711564108957,0,0
"4","15M","basal forebrain","1",62.648110670963,0,1.14025894803643,0.676198390920528,6.9212132901253,289.458280732864,0,4.37316630552214,0,2.28996819078553,0.548889870136374,0,0,0.605138992382857,0,0.456462022687808,0,3.37403680768001,905.947606603833,0,0
"5","15M","basal forebrain","2",64.2893723024605,0,2.0367722146271,0,10.4191072026652,247.917557664595,0.704998851640971,6.4191797977174,0,1.03055502463379,0.904605451562781,0,0,1.36227229885486,0,0,0.964019670428073,3.98146870912348,1037.78677212688,0,2.30503974153763
"6","15M","basal forebrain","3",42.9092366917161,2.42475082258359,1.0054119709851,0,5.23536513461391,221.912279718456,0,1.98747425792641,0,4.25567944172111,0,0,0,1.4820710698109,0,0.705060131365109,3.21146367320551,1.44945721102591,670.768202600839,0,0
"7","15M","caudate putamen","1",64.9068847262522,9.6039527981928,1.28484814932747,0,8.14757598863209,152.943082465411,0.27337829023403,2.6212692353829,0,3.31492805046692,0,0,0,0.782996611444172,0,0.418358740046156,1.52515998508198,2.31937838015161,587.957539560142,0.679973153225154,0.738509591542554
"8","15M","caudate putamen","2",69.1734493667403,3.43871877590686,0.637147778261447,0.152568318003764,10.7306032021338,153.809962104771,0.829751118086077,1.88227969893953,0,4.37527205875925,0.189995124085984,0,0,0.413243510241038,0,0.351684508480581,1.81600969111902,1.95855733306521,667.00033482096,0.140451582857585,0.504616556835742
"9","15M","caudate putamen","3",60.3118613454138,13.822730967712,0.583455582543708,0,6.09666010711196,88.9044471334729,0.820896421914655,0.966655736344874,0,2.45681537112103,0.205791560762552,0,0,0.653852335702112,0,0.216042954838118,2.83659657093042,0.439368089681304,578.630178291633,0,0.389070263427322
"10","15M","cerebellum","1",57.3452557045165,14.1879792178503,1.56893591699177,0.207654595195632,5.94429680696759,105.974859129309,0.780759445267228,10.7268545852985,0,3.16170189516372,0.262869107624954,0.0206815587061557,0,2.06515888424308,0,0.556105802682256,1.84971436396553,1.962144007237,523.495167595888,0.126140513495626,0.190000597164092
