"cluster","module","gene_symbol","metabolite"
2,"M-162","Nt5c2","AdG"
2,"M-162","Nt5e","C"
2,"M-162","Nt5c1b","C"
2,"M-162","Nt5c1a","C"
2,"M-162","Nt5c","C"
2,"M-162","Nt5m","C"
2,"M-162","Nt5c3","C"
2,"M-162","Nt5c2","C"
2,"M-162","Nt5e","G"
2,"M-162","Nt5c1b","G"
2,"M-162","Nt5c1a","G"
2,"M-162","Nt5c","G"
2,"M-162","Nt5m","G"
2,"M-162","Nt5c3","G"
2,"M-162","Nt5c2","G"
2,"M-162","Nt5e","GMP"
2,"M-162","Nt5c1b","GMP"
2,"M-162","Nt5c1a","GMP"
2,"M-162","Nt5c","GMP"
2,"M-162","Nt5m","GMP"
2,"M-162","Nt5c3","GMP"
2,"M-162","Nt5c2","GMP"
2,"M-162","Nt5e","I"
2,"M-162","Nt5c1b","I"
2,"M-162","Nt5c1a","I"
2,"M-162","Nt5c","I"
2,"M-162","Nt5m","I"
2,"M-162","Nt5c3","I"
2,"M-162","Nt5c2","I"
2,"M-162","Nt5e","UMPpseudoUMP"
2,"M-162","Nt5c1b","UMPpseudoUMP"
2,"M-162","Nt5c1a","UMPpseudoUMP"
2,"M-162","Nt5c","UMPpseudoUMP"
2,"M-162","Nt5m","UMPpseudoUMP"
2,"M-162","Nt5c3","UMPpseudoUMP"
2,"M-162","Nt5c2","UMPpseudoUMP"
2,"M-162","Nt5e","UpseudoU"
2,"M-162","Nt5c1b","UpseudoU"
2,"M-162","Nt5c1a","UpseudoU"
2,"M-162","Nt5c","UpseudoU"
2,"M-162","Nt5m","UpseudoU"
2,"M-162","Nt5c3","UpseudoU"
2,"M-162","Nt5c2","UpseudoU"
2,"M-162","Nt5e","dA"
2,"M-162","Nt5c1b","dA"
2,"M-162","Nt5c1a","dA"
2,"M-162","Nt5c","dA"
2,"M-162","Nt5m","dA"
2,"M-162","Nt5c3","dA"
2,"M-162","Nt5c2","dA"
2,"M-162","Nt5e","dAMP"
2,"M-162","Nt5c1b","dAMP"
2,"M-162","Nt5c1a","dAMP"
2,"M-162","Nt5c","dAMP"
2,"M-162","Nt5m","dAMP"
2,"M-162","Nt5c3","dAMP"
2,"M-162","Nt5c2","dAMP"
1,"M-166","Aldh7a1","AMPdGMP"
2,"M-167","Rnf2","AMPdGMP"
2,"M-168","Slc27a5","AMPdGMP"
3,"M-171","Cmpk1","UMPpseudoUMP"
3,"M-171","Cmpk2","UMPpseudoUMP"
3,"M-171","Dctpp1","dCTP"
2,"M-21","Aldh7a1","AMPdGMP"
1,"M-30","Ahcyl2","AdG"
1,"M-30","Ahcy","AdG"
1,"M-30","Ahcyl1","AdG"
1,"M-30","Dnmt1","f5dC"
1,"M-30","Dnmt3a","f5dC"
1,"M-30","Dnmt3b","f5dC"
1,"M-30","Dnmt3a","m6dA"
1,"M-30","Dnmt3b","m6dA"
1,"M-30","Dnmt1","m6dA"
1,"M-30","Dnmt1","mChm5dC"
1,"M-30","Dnmt3a","mChm5dC"
1,"M-30","Dnmt3b","mChm5dC"
3,"M-34","Acsl4","AMPdGMP"
3,"M-34","Acsl1","AMPdGMP"
3,"M-34","Acsl6","AMPdGMP"
3,"M-34","Acsl5","AMPdGMP"
3,"M-34","Acsl3","AMPdGMP"
3,"M-34","Slc27a2","AMPdGMP"
3,"M-34","Acsbg2","AMPdGMP"
3,"M-34","Acsbg1","AMPdGMP"
3,"M-34","Rnf2","AMPdGMP"
2,"M-38","Asns","AMPdGMP"
2,"M-45","Nt5e","AMPdGMP"
2,"M-45","Nt5c1b","AMPdGMP"
2,"M-45","Nt5c1a","AMPdGMP"
2,"M-45","Nt5c","AMPdGMP"
2,"M-45","Nt5m","AMPdGMP"
2,"M-45","Nt5c3","AMPdGMP"
2,"M-45","Nt5c2","AMPdGMP"
2,"M-45","Nt5e","AdG"
2,"M-45","Nt5c1b","AdG"
2,"M-45","Nt5c1a","AdG"
2,"M-45","Nt5c","AdG"
2,"M-45","Nt5m","AdG"
2,"M-45","Nt5c3","AdG"
2,"M-45","Nt5c2","AdG"
2,"M-45","Pnp","AdG"
2,"M-45","Nt5e","C"
2,"M-45","Nt5c1b","C"
2,"M-45","Nt5c1a","C"
2,"M-45","Nt5c","C"
2,"M-45","Nt5m","C"
2,"M-45","Uck1","C"
2,"M-45","Uck2","C"
2,"M-45","Nt5c3","C"
2,"M-45","Nt5c2","C"
2,"M-45","Uckl1","C"
2,"M-45","Nt5e","G"
2,"M-45","Nt5c1b","G"
2,"M-45","Nt5c1a","G"
2,"M-45","Nt5c","G"
2,"M-45","Nt5m","G"
2,"M-45","Nt5c3","G"
2,"M-45","Nt5c2","G"
2,"M-45","Pnp","G"
2,"M-45","Nt5e","GMP"
2,"M-45","Nt5c1b","GMP"
2,"M-45","Nt5c1a","GMP"
2,"M-45","Nt5c","GMP"
2,"M-45","Nt5m","GMP"
2,"M-45","Nt5c3","GMP"
2,"M-45","Nt5c2","GMP"
2,"M-45","Nt5e","I"
2,"M-45","Nt5c1b","I"
2,"M-45","Nt5c1a","I"
2,"M-45","Nt5c","I"
2,"M-45","Nt5m","I"
2,"M-45","Nt5c3","I"
2,"M-45","Nt5c2","I"
2,"M-45","Pnp","I"
2,"M-45","Nt5e","UMPpseudoUMP"
2,"M-45","Nt5c1b","UMPpseudoUMP"
2,"M-45","Nt5c1a","UMPpseudoUMP"
2,"M-45","Nt5c","UMPpseudoUMP"
2,"M-45","Nt5m","UMPpseudoUMP"
2,"M-45","Uck1","UMPpseudoUMP"
2,"M-45","Uck2","UMPpseudoUMP"
2,"M-45","Nt5c3","UMPpseudoUMP"
2,"M-45","Nt5c2","UMPpseudoUMP"
2,"M-45","Uckl1","UMPpseudoUMP"
2,"M-45","Uprt","UMPpseudoUMP"
2,"M-45","Nt5e","UpseudoU"
2,"M-45","Nt5c1b","UpseudoU"
2,"M-45","Nt5c1a","UpseudoU"
2,"M-45","Nt5c","UpseudoU"
2,"M-45","Nt5m","UpseudoU"
2,"M-45","Uck1","UpseudoU"
2,"M-45","Uck2","UpseudoU"
2,"M-45","Nt5c3","UpseudoU"
2,"M-45","Nt5c2","UpseudoU"
2,"M-45","Upp1","UpseudoU"
2,"M-45","Upp2","UpseudoU"
2,"M-45","Uckl1","UpseudoU"
2,"M-45","Nt5e","dA"
2,"M-45","Nt5c1b","dA"
2,"M-45","Nt5c1a","dA"
2,"M-45","Nt5c","dA"
2,"M-45","Nt5m","dA"
2,"M-45","Nt5c3","dA"
2,"M-45","Nt5c2","dA"
2,"M-45","Pnp","dA"
2,"M-45","Nt5e","dAMP"
2,"M-45","Nt5c1b","dAMP"
2,"M-45","Nt5c1a","dAMP"
2,"M-45","Nt5c","dAMP"
2,"M-45","Nt5m","dAMP"
2,"M-45","Nt5c3","dAMP"
2,"M-45","Nt5c2","dAMP"
2,"M-45","Uck1","dCTP"
2,"M-45","Uck2","dCTP"
2,"M-45","Uckl1","dCTP"
2,"M-60","Aldh7a1","AMPdGMP"
