"module","cluster"
"M-1",1
"M-112",2
"M-122",1
"M-125",3
"M-133",3
"M-134",2
"M-135",3
"M-138",3
"M-139",2
"M-140",2
"M-143",1
"M-145",2
"M-148",2
"M-155",1
"M-156",1
"M-159",2
"M-160",3
"M-161",3
"M-162",2
"M-166",1
"M-167",2
"M-168",2
"M-171",3
"M-21",2
"M-30",1
"M-34",3
"M-38",2
"M-45",2
"M-60",2
