"gene_symbol"
"Cant1"
"Entpd4"
"Entpd6"
"Entpd5"
"Atic"
"Ak3"
"Dctpp1"
"Acsl4"
"Acsl1"
"Acsl6"
"Acsl5"
"Acsl3"
"Slc27a2"
"Acsbg2"
"Acsbg1"
