"Term","Overlap","P_value","Adjusted_P_value","Old_P_value","Old_Adjusted_P_value","Odds_Ratio","Combined_Score","Genes","Overlap_raw","overlap_num","overlap_den","Overlap_clean","GeneRatio","neglog10_FDR","Term_clean","Term_plot"
"Guanosine triphosphate (HMDB01273)","47/460",4.06e-54,1.81e-51,0,0,55.47820823,6820.436476,"GUCY2C;NPR1;DOCK8;DIRAS1;GIMAP4;IPO7;GUCY2F;ADCY7;RASGRP1;GIMAP8;GNGT1;TUBA1C;PREX1;GNGT2;RASSF4;GNG4;FPGT;ARHGDIB;RAC2;GNG8;TPPP;GBP2;REM2;GBP4;KPNA1;GBP3;GBP6;GCH1;ENTPD4;SYTL1;GNG12;RHOD;GNG11;MLPH;RP2;OAS3;GNB2;EEF1A2;ADSSL1;GNB3;RHOU;KRAS;RGL3;DOCK2;RIN1;DOCK1;ARF5","47/460",47,460,"47/460",0.102173913043478,50.7423214251308,"Guanosine triphosphate","Guanosine triphosphate"
"Adenosine monophosphate (HMDB00045)","19/235",3.54e-19,7.87e-17,0,0,25.47950708,1082.520229,"UBA7;PDE1C;PDE6H;UBE2C;PDE3B;PDE2A;UBE2L6;ACSL4;PYGL;AK7;CCNB1IP1;MARCH4;PDE11A;ZNRF2;TRIM5;NT5C1A;PDE3A;PDE5A;ENPP3","19/235",19,235,"19/235",0.0808510638297872,16.1040252676409,"Adenosine monophosphate","Adenosine monophosphate"
"Cyclic GMP (HMDB01314)","11/44",3.74e-17,5.55e-15,0,0,87.19298246,3298.103644,"GUCY2C;PDE11A;PDE1C;PDE6H;NPR1;PDE3B;PDE2A;PDE3A;PDE5A;GUCY2F;ADCY7","11/44",11,44,"11/44",0.25,14.2557070168773,"Cyclic GMP","Cyclic GMP"
"Guanosine monophosphate (HMDB01397)","11/49",1.4e-16,1.55e-14,0,0,75.70117729,2763.699767,"GUCY2C;PDE11A;PDE1C;PDE6H;ENTPD4;NPR1;NT5C1A;PDE3B;PDE2A;PDE3A;PDE5A","11/49",11,49,"11/49",0.224489795918367,13.8096683018297,"Guanosine monophosphate","Guanosine monophosphate"
"Phosphoric acid (HMDB02142)","13/261",1.02e-10,7.96e-09,0,0,13.93008936,320.4194542,"GUCY2C;UBA7;NPR1;UBE2C;UBE2L6;ACSL4;GUCY2F;ADCY7;CCNB1IP1;MARCH4;ZNRF2;TRIM5;FPGT","13/261",13,261,"13/261",0.0498084291187739,8.09908693226233,"Phosphoric acid","Phosphoric acid"
"Pyrophosphate (HMDB00250)","13/262",1.07e-10,7.96e-09,0,0,13.8734397,318.4584555,"GUCY2C;UBA7;NPR1;UBE2C;UBE2L6;ACSL4;GUCY2F;ADCY7;CCNB1IP1;MARCH4;ZNRF2;TRIM5;FPGT","13/262",13,262,"13/262",0.049618320610687,8.09908693226233,"Pyrophosphate","Pyrophosphate"
"Cyclic AMP (HMDB00058)","8/158",4.37e-07,2.78e-05,0,0,13.3421097,195.362589,"PDE11A;PDE1C;PDE6H;PDE3B;PDE2A;PDE3A;PDE5A;ADCY7","8/158",8,158,"8/158",0.0506329113924051,4.55595520408192,"Cyclic AMP","Cyclic AMP"
