"gene","log2FoldChange","padj","pvalue","metabolite","comparison","region","row_id"
"Rapgef3",-0.3,0.0462653388945339,8.81476136877657e-05,"GMP","18_vs_12","cc","cc | 18_vs_12 | GMP"
"Rapgef3",-0.3,0.0462653388945339,8.81476136877657e-05,"GTP","18_vs_12","cc","cc | 18_vs_12 | GTP"
"Impad1",-0.2,0.0428305895889385,0.000487624628123784,"AMPdGMP","21_vs_12","cc","cc | 21_vs_12 | AMPdGMP"
"Cyth4",-0.3,0.0241573239656043,0.000222139786246956,"GTP","21_vs_12","cc","cc | 21_vs_12 | GTP"
"Gfm2",-0.3,3.67161446938141e-06,5.97159866157367e-09,"GTP","21_vs_12","cc","cc | 21_vs_12 | GTP"
"Rassf4",-0.6,0.00040898225887914,1.40710773416444e-06,"GTP","21_vs_12","cc","cc | 21_vs_12 | GTP"
"Uba7",-1.4,0.0111782614062524,0.000120871908418759,"AMPdGMP","26_vs_12","cc","cc | 26_vs_12 | AMPdGMP"
"Ube2l6",-1.1,0.0393877100026231,0.000644871786957235,"AMPdGMP","26_vs_12","cc","cc | 26_vs_12 | AMPdGMP"
"Dock2",-0.9,0.00871815998844934,9.00097158071928e-05,"GMP","26_vs_12","cc","cc | 26_vs_12 | GMP"
"Dock8",-0.7,0.0348419726247766,0.000524814713238787,"GMP","26_vs_12","cc","cc | 26_vs_12 | GMP"
"Gna13",-0.3,0.00112798377801851,7.0977047550801e-06,"GMP","26_vs_12","cc","cc | 26_vs_12 | GMP"
"Gngt2",-0.7,0.0190333096911516,0.000225576521478612,"GMP","26_vs_12","cc","cc | 26_vs_12 | GMP"
"Rac2",-0.7,0.00925149318535282,9.61698349067486e-05,"GMP","26_vs_12","cc","cc | 26_vs_12 | GMP"
"Rapgef3",-0.4,0.023406558865977,0.000301715677238753,"GMP","26_vs_12","cc","cc | 26_vs_12 | GMP"
"Adssl1",-0.4,0.00607867926108144,5.60743214871585e-05,"GTP","26_vs_12","cc","cc | 26_vs_12 | GTP"
"Cyth4",-0.6,0.000171374647940901,7.11923517623634e-07,"GTP","26_vs_12","cc","cc | 26_vs_12 | GTP"
"Dock2",-0.9,0.00871815998844934,9.00097158071928e-05,"GTP","26_vs_12","cc","cc | 26_vs_12 | GTP"
"Dock8",-0.7,0.0348419726247766,0.000524814713238787,"GTP","26_vs_12","cc","cc | 26_vs_12 | GTP"
"Gbp3",-1.5,0.0393877100026231,0.000642064167818151,"GTP","26_vs_12","cc","cc | 26_vs_12 | GTP"
"Gfm2",-0.3,0.00582007315738079,5.2477505950157e-05,"GTP","26_vs_12","cc","cc | 26_vs_12 | GTP"
"Gngt2",-0.7,0.0190333096911516,0.000225576521478612,"GTP","26_vs_12","cc","cc | 26_vs_12 | GTP"
"Rac2",-0.7,0.00925149318535282,9.61698349067486e-05,"GTP","26_vs_12","cc","cc | 26_vs_12 | GTP"
"Rapgef3",-0.4,0.023406558865977,0.000301715677238753,"GTP","26_vs_12","cc","cc | 26_vs_12 | GTP"
"Rassf4",-0.9,0.000181484213063094,7.76094747047258e-07,"GTP","26_vs_12","cc","cc | 26_vs_12 | GTP"
"Hk2",-0.9,0.0322134408160573,0.000468373078026859,"ITP","26_vs_12","cc","cc | 26_vs_12 | ITP"
"Dzip3",0.3,0.0181219826722104,0.00059228704660446,"AMPdGMP","28_vs_12","cc","cc | 28_vs_12 | AMPdGMP"
"Pja1",0.3,0.00398314662592434,7.65623933588608e-05,"AMPdGMP","28_vs_12","cc","cc | 28_vs_12 | AMPdGMP"
"Trim5",-1.8,0.00159925664386971,2.434607335216e-05,"AMPdGMP","28_vs_12","cc","cc | 28_vs_12 | AMPdGMP"
"Uba7",-1.3,0.0206157864962875,0.000728719285900162,"AMPdGMP","28_vs_12","cc","cc | 28_vs_12 | AMPdGMP"
"Ube2g1",0.2,0.0158200866799038,0.000485406193497525,"AMPdGMP","28_vs_12","cc","cc | 28_vs_12 | AMPdGMP"
"Ube2w",0.2,0.036230661810023,0.00167453308847548,"AMPdGMP","28_vs_12","cc","cc | 28_vs_12 | AMPdGMP"
"Znrf1",0.4,0.0095256913592439,0.000249628611909508,"AMPdGMP","28_vs_12","cc","cc | 28_vs_12 | AMPdGMP"
"Polr2a",-0.3,0.0175038423064557,0.000561100962187602,"CTP","28_vs_12","cc","cc | 28_vs_12 | CTP"
"Polb",0.3,0.013323379557967,0.000382675484571214,"dCTP","28_vs_12","cc","cc | 28_vs_12 | dCTP"
"Polb",0.3,0.013323379557967,0.000382675484571214,"dTTP","28_vs_12","cc","cc | 28_vs_12 | dTTP"
"Polr2a",-0.3,0.0175038423064557,0.000561100962187602,"dTTP","28_vs_12","cc","cc | 28_vs_12 | dTTP"
"Arhgef3",0.4,0.00902469057193981,0.000229481732047539,"GMP","28_vs_12","cc","cc | 28_vs_12 | GMP"
"Dock2",-1.3,2.02561306716506e-06,1.1366262435143e-08,"GMP","28_vs_12","cc","cc | 28_vs_12 | GMP"
"Gna11",0.1,0.0304384589879501,0.00129734119611965,"GMP","28_vs_12","cc","cc | 28_vs_12 | GMP"
"Gna13",-0.3,0.000556711418549637,6.11478635465217e-06,"GMP","28_vs_12","cc","cc | 28_vs_12 | GMP"
"Gnai2",-0.3,0.00717987703696876,0.000168867690578181,"GMP","28_vs_12","cc","cc | 28_vs_12 | GMP"
"Gngt2",-1,5.04538860226912e-05,4.18641962580831e-07,"GMP","28_vs_12","cc","cc | 28_vs_12 | GMP"
"Hras",0.4,0.0256219033406256,0.00100370992826877,"GMP","28_vs_12","cc","cc | 28_vs_12 | GMP"
"Mcf2l",0.3,0.0248292315508275,0.000954514393429615,"GMP","28_vs_12","cc","cc | 28_vs_12 | GMP"
"Rac2",-1,0.000213887470418087,2.04286027142395e-06,"GMP","28_vs_12","cc","cc | 28_vs_12 | GMP"
"Rapgef3",-0.5,0.00171312021534736,2.66908056474249e-05,"GMP","28_vs_12","cc","cc | 28_vs_12 | GMP"
"Adssl1",-0.5,0.00016921090730141,1.55554439615671e-06,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Arf1",0.1,0.0254038602293587,0.000988789180821062,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Baiap2",0.4,0.0201412161203515,0.000697208046734584,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Cyfip1",-0.3,0.000824781017795091,9.94542535784434e-06,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Cyth4",-1,1.21164371256473e-10,3.18244528133049e-13,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Dock2",-1.3,2.02561306716506e-06,1.1366262435143e-08,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Drg1",0.2,0.0348826633974828,0.00159145977759623,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Entpd2",-0.4,0.0287000350232836,0.00119583479263682,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Fgd2",-0.8,0.00108519516815875,1.42921715201976e-05,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Fnbp1l",0.3,0.0294204871745842,0.00124048217499458,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Gbp2",-1.4,0.00582441498734353,0.000124818826436027,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Gbp3",-2,0.00153761149193312,2.30384720914049e-05,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Gbp7",-0.9,0.0347866325501959,0.00158441980872728,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Gfm2",-0.6,6.67664420040911e-14,8.36971873260455e-17,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Gna11",0.1,0.0304384589879501,0.00129734119611965,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Gngt2",-1,5.04538860226912e-05,4.18641962580831e-07,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Hras",0.4,0.0256219033406256,0.00100370992826877,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Mcf2l",0.3,0.0248292315508275,0.000954514393429615,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Nek9",-0.3,0.0204747464279093,0.000719891693292655,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Polr2a",-0.3,0.0175038423064557,0.000561100962187602,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Rab15",0.3,0.0101444499162725,0.000273653406579358,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Rab3gap2",0.2,0.0248623942993878,0.000957273419478579,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Rac2",-1,0.000213887470418087,2.04286027142395e-06,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Rapgef3",-0.5,0.00171312021534736,2.66908056474249e-05,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Rasgrp4",0.4,0.0422912788070706,0.00209537735254708,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Rassf2",-0.5,0.00148938385373092,2.22269557923072e-05,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Rassf4",-1.3,2.78432929666959e-09,9.47389982749323e-12,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Rheb",0.2,0.0235140775232802,0.000875882543847114,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Rhoj",-0.8,0.0226346854424526,0.000822858371206641,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Xpo7",0.2,0.0310743166398142,0.00133943385436762,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Hk2",-0.9,0.0323323840373235,0.00141859493000434,"ITP","28_vs_12","cc","cc | 28_vs_12 | ITP"
"Polr2a",-0.3,0.0175038423064557,0.000561100962187602,"UTPpseudoUTP","28_vs_12","cc","cc | 28_vs_12 | UTPpseudoUTP"
"Tet3",0.3,0.0310743166398142,0.00134270490954313,"ca5dC","28_vs_12","cc","cc | 28_vs_12 | ca5dC"
"Tet3",0.3,0.0310743166398142,0.00134270490954313,"m5dCTP","28_vs_12","cc","cc | 28_vs_12 | m5dCTP"
"Tet3",0.3,0.0310743166398142,0.00134270490954313,"m6dATP","28_vs_12","cc","cc | 28_vs_12 | m6dATP"
"Tet3",0.3,0.0310743166398142,0.00134270490954313,"mCMPhm5dCMP","28_vs_12","cc","cc | 28_vs_12 | mCMPhm5dCMP"
"Tet3",0.3,0.0310743166398142,0.00134270490954313,"mCTPhm5dCTP","28_vs_12","cc","cc | 28_vs_12 | mCTPhm5dCTP"
"Tet3",0.3,0.0310743166398142,0.00134270490954313,"f5dC","28_vs_12","cc","cc | 28_vs_12 | f5dC"
"Polb",0.3,0.013323379557967,0.000382675484571214,"f5dCTP","28_vs_12","cc","cc | 28_vs_12 | f5dCTP"
"Tet3",0.3,0.0310743166398142,0.00134270490954313,"f5dCTP","28_vs_12","cc","cc | 28_vs_12 | f5dCTP"
"Tet3",0.3,0.0310743166398142,0.00134270490954313,"m5dC","28_vs_12","cc","cc | 28_vs_12 | m5dC"
"Tet3",0.3,0.0310743166398142,0.00134270490954313,"mChm5dC","28_vs_12","cc","cc | 28_vs_12 | mChm5dC"
"Tyms",-0.6,0.0423523412796434,0.000188110866720156,"dTMP","12_vs_3","cc","cc | 12_vs_3 | dTMP"
"Ube2c",-1.2,0.0203234575399878,7.03653615878278e-05,"AMPdGMP","12_vs_3","cc","cc | 12_vs_3 | AMPdGMP"
"Kif20a",-0.3,0.02643249970401,0.000100983762001949,"GTP","12_vs_3","cc","cc | 12_vs_3 | GTP"
"Ubr5",0.2,0.0144590901635993,6.74459892001546e-05,"AMPdGMP","21_vs_15","cc","cc | 21_vs_15 | AMPdGMP"
"Rasgef1a",0.4,0.0133444013696634,5.96162731185278e-05,"GMP","21_vs_15","cc","cc | 21_vs_15 | GMP"
"Rcc2",0.3,0.0384193862100089,0.000277730653197424,"GMP","21_vs_15","cc","cc | 21_vs_15 | GMP"
"Cdc42ep3",0.4,0.0190270498436224,9.29142605164753e-05,"GTP","21_vs_15","cc","cc | 21_vs_15 | GTP"
"Rasgef1a",0.4,0.0133444013696634,5.96162731185278e-05,"GTP","21_vs_15","cc","cc | 21_vs_15 | GTP"
"Rcc2",0.3,0.0384193862100089,0.000277730653197424,"GTP","21_vs_15","cc","cc | 21_vs_15 | GTP"
"Sos2",0.4,0.0196826176058225,9.95439397497389e-05,"GTP","21_vs_15","cc","cc | 21_vs_15 | GTP"
"March9",0.6,0.0401566929941957,0.000292449650506917,"AMPdGMP","26_vs_15","cc","cc | 26_vs_15 | AMPdGMP"
"Rac2",-0.7,0.0131756699113845,6.05615200081545e-05,"GMP","26_vs_15","cc","cc | 26_vs_15 | GMP"
"Adssl1",-0.4,0.026823536810419,0.000150514115340221,"GTP","26_vs_15","cc","cc | 26_vs_15 | GTP"
"Cyth4",-0.5,0.00287831764427947,9.79370258619447e-06,"GTP","26_vs_15","cc","cc | 26_vs_15 | GTP"
"Rac2",-0.7,0.0131756699113845,6.05615200081545e-05,"GTP","26_vs_15","cc","cc | 26_vs_15 | GTP"
"Rassf4",-0.6,0.0381839460387264,0.000273021542628568,"GTP","26_vs_15","cc","cc | 26_vs_15 | GTP"
"Dtymk",0.2,0.0264117378070418,0.000718697982363517,"dTMP","28_vs_15","cc","cc | 28_vs_15 | dTMP"
"Tk2",-0.3,0.0103329796916541,0.000183695636559793,"dTMP","28_vs_15","cc","cc | 28_vs_15 | dTMP"
"Pja1",0.2,0.0232588157797998,0.000575745361822186,"AMPdGMP","28_vs_15","cc","cc | 28_vs_15 | AMPdGMP"
"Trim5",-1.4,0.0243329920207209,0.000617990414138163,"AMPdGMP","28_vs_15","cc","cc | 28_vs_15 | AMPdGMP"
"Znrf1",0.3,0.0232206476918468,0.000570856658507182,"AMPdGMP","28_vs_15","cc","cc | 28_vs_15 | AMPdGMP"
"Tk2",-0.3,0.0103329796916541,0.000183695636559793,"dT","28_vs_15","cc","cc | 28_vs_15 | dT"
"Arhgef3",0.4,0.0497200731826448,0.00188168674311899,"GMP","28_vs_15","cc","cc | 28_vs_15 | GMP"
"Dock2",-1,0.000650952214653706,5.13073808622338e-06,"GMP","28_vs_15","cc","cc | 28_vs_15 | GMP"
"Gnai2",-0.2,0.0293775989611659,0.00083064398413906,"GMP","28_vs_15","cc","cc | 28_vs_15 | GMP"
"Gngt2",-0.9,0.000713955197902483,5.76130492489806e-06,"GMP","28_vs_15","cc","cc | 28_vs_15 | GMP"
"Hras",0.4,0.0280454575155802,0.000785076287486419,"GMP","28_vs_15","cc","cc | 28_vs_15 | GMP"
"Rab3il1",-0.5,0.0100016013995412,0.000173670797628343,"GMP","28_vs_15","cc","cc | 28_vs_15 | GMP"
"Rac2",-1,0.000175614132747328,1.13150604735236e-06,"GMP","28_vs_15","cc","cc | 28_vs_15 | GMP"
"Rapgef2",0.3,0.0494772834748034,0.00182916768007061,"GMP","28_vs_15","cc","cc | 28_vs_15 | GMP"
"Rasgef1a",0.5,0.0297900832323597,0.000851624423695007,"GMP","28_vs_15","cc","cc | 28_vs_15 | GMP"
"Adssl1",-0.5,0.000568745761379147,4.37606209493526e-06,"GTP","28_vs_15","cc","cc | 28_vs_15 | GTP"
"Arfgap3",-0.4,0.0445715861849855,0.00158925335452532,"GTP","28_vs_15","cc","cc | 28_vs_15 | GTP"
"Baiap2",0.5,0.00889861603044145,0.000143615847357306,"GTP","28_vs_15","cc","cc | 28_vs_15 | GTP"
"Copg2",0.3,0.0232407885629134,0.000572805623282115,"GTP","28_vs_15","cc","cc | 28_vs_15 | GTP"
"Cyfip1",-0.2,0.0102056170367232,0.000178786620839482,"GTP","28_vs_15","cc","cc | 28_vs_15 | GTP"
"Cyth4",-0.9,3.99526392985442e-09,8.10000062645448e-12,"GTP","28_vs_15","cc","cc | 28_vs_15 | GTP"
"Dock2",-1,0.000650952214653706,5.13073808622338e-06,"GTP","28_vs_15","cc","cc | 28_vs_15 | GTP"
"Fgd2",-0.8,0.00076735909935942,6.24025290358592e-06,"GTP","28_vs_15","cc","cc | 28_vs_15 | GTP"
"Fnbp1",-0.3,0.0484958315823402,0.00177164804479461,"GTP","28_vs_15","cc","cc | 28_vs_15 | GTP"
"Fnbp1l",0.4,0.00854127242889955,0.000135177150288476,"GTP","28_vs_15","cc","cc | 28_vs_15 | GTP"
"Gfm2",-0.4,3.65206573545742e-08,9.36661423456487e-11,"GTP","28_vs_15","cc","cc | 28_vs_15 | GTP"
"Gngt2",-0.9,0.000713955197902483,5.76130492489806e-06,"GTP","28_vs_15","cc","cc | 28_vs_15 | GTP"
"Hras",0.4,0.0280454575155802,0.000785076287486419,"GTP","28_vs_15","cc","cc | 28_vs_15 | GTP"
"Nin",0.4,0.0418802555411491,0.00143827475866951,"GTP","28_vs_15","cc","cc | 28_vs_15 | GTP"
"Rab15",0.3,0.0298655454420632,0.000855649931969533,"GTP","28_vs_15","cc","cc | 28_vs_15 | GTP"
"Rac2",-1,0.000175614132747328,1.13150604735236e-06,"GTP","28_vs_15","cc","cc | 28_vs_15 | GTP"
"Rap1a",-0.2,0.0264882206713352,0.00072409310855583,"GTP","28_vs_15","cc","cc | 28_vs_15 | GTP"
"Rapgef2",0.3,0.0494772834748034,0.00182916768007061,"GTP","28_vs_15","cc","cc | 28_vs_15 | GTP"
"Rasgef1a",0.5,0.0297900832323597,0.000851624423695007,"GTP","28_vs_15","cc","cc | 28_vs_15 | GTP"
"Rassf2",-0.4,0.0088963094041062,0.00014302211415334,"GTP","28_vs_15","cc","cc | 28_vs_15 | GTP"
"Rassf4",-1,3.86984437403809e-06,1.62191650857345e-08,"GTP","28_vs_15","cc","cc | 28_vs_15 | GTP"
"Srpr",0.3,0.0259814615979317,0.000693987495453325,"GTP","28_vs_15","cc","cc | 28_vs_15 | GTP"
"Xpo7",0.2,0.040247537164456,0.00133436723990752,"GTP","28_vs_15","cc","cc | 28_vs_15 | GTP"
"Tet3",0.4,0.0130566537906325,0.000254827723175111,"ca5dC","28_vs_15","cc","cc | 28_vs_15 | ca5dC"
"Tet3",0.4,0.0130566537906325,0.000254827723175111,"m5dCTP","28_vs_15","cc","cc | 28_vs_15 | m5dCTP"
"Tet3",0.4,0.0130566537906325,0.000254827723175111,"m6dATP","28_vs_15","cc","cc | 28_vs_15 | m6dATP"
"Tet3",0.4,0.0130566537906325,0.000254827723175111,"mCMPhm5dCMP","28_vs_15","cc","cc | 28_vs_15 | mCMPhm5dCMP"
"Tet3",0.4,0.0130566537906325,0.000254827723175111,"mCTPhm5dCTP","28_vs_15","cc","cc | 28_vs_15 | mCTPhm5dCTP"
"Tet3",0.4,0.0130566537906325,0.000254827723175111,"f5dC","28_vs_15","cc","cc | 28_vs_15 | f5dC"
"Tet3",0.4,0.0130566537906325,0.000254827723175111,"f5dCTP","28_vs_15","cc","cc | 28_vs_15 | f5dCTP"
"Tet3",0.4,0.0130566537906325,0.000254827723175111,"m5dC","28_vs_15","cc","cc | 28_vs_15 | m5dC"
"Tet3",0.4,0.0130566537906325,0.000254827723175111,"mChm5dC","28_vs_15","cc","cc | 28_vs_15 | mChm5dC"
"Tyms",-0.5,0.0151698582752394,0.000165116685843341,"dTMP","15_vs_3","cc","cc | 15_vs_3 | dTMP"
"Aacs",-0.3,0.0349137915811363,0.000508877357588187,"AMPdGMP","15_vs_3","cc","cc | 15_vs_3 | AMPdGMP"
"Ass1",0.3,0.0160651196257818,0.000176871078076917,"AMPdGMP","15_vs_3","cc","cc | 15_vs_3 | AMPdGMP"
"Chfr",-0.2,0.04520151348289,0.000732340297264388,"AMPdGMP","15_vs_3","cc","cc | 15_vs_3 | AMPdGMP"
"Ube2a",-0.2,0.00241199297880361,1.35793424303969e-05,"AMPdGMP","15_vs_3","cc","cc | 15_vs_3 | AMPdGMP"
"Ube2c",-1,0.0313044450621585,0.000434729563605604,"AMPdGMP","15_vs_3","cc","cc | 15_vs_3 | AMPdGMP"
"Gfm2",0.2,0.00111057196557233,5.0714220872501e-06,"GTP","15_vs_3","cc","cc | 15_vs_3 | GTP"
"Gimap6",-0.8,0.0365539615928612,0.000544036404847738,"GTP","15_vs_3","cc","cc | 15_vs_3 | GTP"
"Kif20a",-0.3,0.00537025995345279,3.93044172747389e-05,"GTP","15_vs_3","cc","cc | 15_vs_3 | GTP"
"Nek9",0.2,0.0374360582914725,0.000566716258384608,"GTP","15_vs_3","cc","cc | 15_vs_3 | GTP"
"Rras2",-0.7,0.011767610616985,0.000114624672582364,"GTP","15_vs_3","cc","cc | 15_vs_3 | GTP"
"Sbds",0.1,0.0127109163184289,0.000128304757708684,"GTP","15_vs_3","cc","cc | 15_vs_3 | GTP"
"Pja1",0.2,0.0411706419496824,0.000367809192682422,"AMPdGMP","28_vs_18","cc","cc | 28_vs_18 | AMPdGMP"
"Dock2",-0.9,0.0146227337427895,9.73717379170419e-05,"GMP","28_vs_18","cc","cc | 28_vs_18 | GMP"
"Adssl1",-0.4,0.0480719871242491,0.000470670544920395,"GTP","28_vs_18","cc","cc | 28_vs_18 | GTP"
"Copg2",0.3,0.0109334132703789,6.34537394273321e-05,"GTP","28_vs_18","cc","cc | 28_vs_18 | GTP"
"Cyfip1",-0.2,0.0411706419496824,0.000377273889208404,"GTP","28_vs_18","cc","cc | 28_vs_18 | GTP"
"Cyth4",-0.7,0.000165269582055879,5.14921417609495e-07,"GTP","28_vs_18","cc","cc | 28_vs_18 | GTP"
"Dock2",-0.9,0.0146227337427895,9.73717379170419e-05,"GTP","28_vs_18","cc","cc | 28_vs_18 | GTP"
"Gfm2",-0.4,4.22491903575261e-07,3.61346853812307e-10,"GTP","28_vs_18","cc","cc | 28_vs_18 | GTP"
"Rassf4",-0.7,0.0109334132703789,6.31978309898941e-05,"GTP","28_vs_18","cc","cc | 28_vs_18 | GTP"
"Cept1",-0.1,0.0383383463384155,0.00213683639356488,"CMP","18_vs_3","cc","cc | 18_vs_3 | CMP"
"Chpt1",0.2,0.00847279224169218,0.00022896573554429,"CMP","18_vs_3","cc","cc | 18_vs_3 | CMP"
"Adk",0.2,0.000813482979195536,1.08389762647723e-05,"AdG","18_vs_3","cc","cc | 18_vs_3 | AdG"
"Adk",0.2,0.000813482979195536,1.08389762647723e-05,"AMPdGMP","18_vs_3","cc","cc | 18_vs_3 | AMPdGMP"
"Adsl",0.2,0.014200667465318,0.000500123594581136,"AMPdGMP","18_vs_3","cc","cc | 18_vs_3 | AMPdGMP"
"Ass1",0.3,0.0109246602694123,0.000343061394673151,"AMPdGMP","18_vs_3","cc","cc | 18_vs_3 | AMPdGMP"
"Dzip3",-0.2,0.0339064795489629,0.00179013316272518,"AMPdGMP","18_vs_3","cc","cc | 18_vs_3 | AMPdGMP"
"March7",0.2,0.00557298581695775,0.00012654784508668,"AMPdGMP","18_vs_3","cc","cc | 18_vs_3 | AMPdGMP"
"Nadsyn1",0.6,0.012678921062524,0.000428288338156071,"AMPdGMP","18_vs_3","cc","cc | 18_vs_3 | AMPdGMP"
"Pde7a",-0.2,0.0227024430663067,0.00099527683442716,"AMPdGMP","18_vs_3","cc","cc | 18_vs_3 | AMPdGMP"
"Pygb",0.2,0.00926915110006114,0.000269040792595294,"AMPdGMP","18_vs_3","cc","cc | 18_vs_3 | AMPdGMP"
"Uba6",-0.4,0.000114531745025437,1.06751094762855e-06,"AMPdGMP","18_vs_3","cc","cc | 18_vs_3 | AMPdGMP"
"Ube2a",-0.2,1.11327312412761e-05,6.47656703014311e-08,"AMPdGMP","18_vs_3","cc","cc | 18_vs_3 | AMPdGMP"
"Ube2b",-0.1,0.036774499309844,0.00200136459399251,"AMPdGMP","18_vs_3","cc","cc | 18_vs_3 | AMPdGMP"
"Ube2c",-1.3,0.000764372940153948,1.00411808727843e-05,"AMPdGMP","18_vs_3","cc","cc | 18_vs_3 | AMPdGMP"
"Ube2w",-0.2,0.0192431650088358,0.000777605058686193,"AMPdGMP","18_vs_3","cc","cc | 18_vs_3 | AMPdGMP"
"Vars",0.2,0.0326245284385544,0.00166530809494936,"AMPdGMP","18_vs_3","cc","cc | 18_vs_3 | AMPdGMP"
"Wwp2",0.2,0.00419461515609623,8.73768827086229e-05,"AMPdGMP","18_vs_3","cc","cc | 18_vs_3 | AMPdGMP"
"Znrf1",-0.2,0.00998166124322212,0.000296997877537157,"AMPdGMP","18_vs_3","cc","cc | 18_vs_3 | AMPdGMP"
"Arhgef37",1,3.74128717969698e-05,2.702602842392e-07,"GMP","18_vs_3","cc","cc | 18_vs_3 | GMP"
"Arhgef6",0.4,0.0319241588318016,0.00161286553659422,"GMP","18_vs_3","cc","cc | 18_vs_3 | GMP"
"Arhgef7",-0.2,0.0027619842159117,5.15072271788433e-05,"GMP","18_vs_3","cc","cc | 18_vs_3 | GMP"
"Dock2",0.6,0.00938256887118716,0.000275854333132614,"GMP","18_vs_3","cc","cc | 18_vs_3 | GMP"
"Entpd5",0.3,0.0197575133121603,0.000814349680025867,"GMP","18_vs_3","cc","cc | 18_vs_3 | GMP"
"Gng11",0.3,0.0298717277937597,0.00143883588147097,"GMP","18_vs_3","cc","cc | 18_vs_3 | GMP"
"Hras",-0.2,0.0241456216209704,0.00108599411644425,"GMP","18_vs_3","cc","cc | 18_vs_3 | GMP"
"Pde7a",-0.2,0.0227024430663067,0.00099527683442716,"GMP","18_vs_3","cc","cc | 18_vs_3 | GMP"
"Psd3",-0.3,0.00104196146375764,1.4535056075188e-05,"GMP","18_vs_3","cc","cc | 18_vs_3 | GMP"
"Rac2",0.7,0.0010572532505269,1.4880644399384e-05,"GMP","18_vs_3","cc","cc | 18_vs_3 | GMP"
"Ralgps2",-0.2,0.0317947368757941,0.00158914017038405,"GMP","18_vs_3","cc","cc | 18_vs_3 | GMP"
"Rapgef2",-0.2,0.00652439179598981,0.000157946930129367,"GMP","18_vs_3","cc","cc | 18_vs_3 | GMP"
"Rasgrp3",0.3,0.0171804694447274,0.000652354870070658,"GMP","18_vs_3","cc","cc | 18_vs_3 | GMP"
"Sorbs3",0.4,0.0349542082769031,0.0018629416647017,"GMP","18_vs_3","cc","cc | 18_vs_3 | GMP"
"Adssl1",0.3,0.00511233627225705,0.000112889697491977,"GTP","18_vs_3","cc","cc | 18_vs_3 | GTP"
"Arf6",0.2,0.0246634887804585,0.00112471433260067,"GTP","18_vs_3","cc","cc | 18_vs_3 | GTP"
"Arfgef1",-0.1,0.0487041187165757,0.00300401983326308,"GTP","18_vs_3","cc","cc | 18_vs_3 | GTP"
"Arhgef6",0.4,0.0319241588318016,0.00161286553659422,"GTP","18_vs_3","cc","cc | 18_vs_3 | GTP"
"Cdc42ep1",0.4,0.00109311821377226,1.57460720452333e-05,"GTP","18_vs_3","cc","cc | 18_vs_3 | GTP"
"Cyfip1",0.1,0.0323958823613011,0.00164147783764881,"GTP","18_vs_3","cc","cc | 18_vs_3 | GTP"
"Cyth4",0.5,3.33416746880827e-05,2.31510439783384e-07,"GTP","18_vs_3","cc","cc | 18_vs_3 | GTP"
"Dock2",0.6,0.00938256887118716,0.000275854333132614,"GTP","18_vs_3","cc","cc | 18_vs_3 | GTP"
"Erc1",-0.2,0.0356375542601342,0.00190382030139839,"GTP","18_vs_3","cc","cc | 18_vs_3 | GTP"
"Fnbp1",0.3,0.00925325614550434,0.000266264095266608,"GTP","18_vs_3","cc","cc | 18_vs_3 | GTP"
"Fnbp1l",-0.3,0.000335020745658405,3.83515553956513e-06,"GTP","18_vs_3","cc","cc | 18_vs_3 | GTP"
"Gfm2",0.2,0.000451667410582367,5.45300952348285e-06,"GTP","18_vs_3","cc","cc | 18_vs_3 | GTP"
"Gga1",0.2,0.0364655950704785,0.00197999102472009,"GTP","18_vs_3","cc","cc | 18_vs_3 | GTP"
