"Gene"
"Adk"
"Adpgk"
"Ahcy"
"Ahcyl1"
"Ahcyl2"
"Ak1"
"Ak2"
"Ak3"
"Ak4"
"Ak5"
"Ak7"
"Ak8"
"Asns"
"Atic"
"B4galt1"
"Dnmt1"
"Dnmt3a"
"Dnmt3b"
"Gne"
"Nudt2"
"Nudt5"
