"Gene"
"Acsbg1"
"Acsbg2"
"Acsl1"
"Acsl3"
"Acsl4"
"Acsl5"
"Acsl6"
"Aprt"
"Cant1"
"Cmpk1"
"Cmpk2"
"Dck"
"Dctpp1"
"Entpd4"
"Entpd5"
"Entpd6"
