"Gene"
"Aldh7a1"
"Entpd1"
"Entpd3"
"Entpd8"
"Nme1"
"Nme2"
"Nme3"
"Nme4"
"Nme5"
"Nme6"
"Nme7"
"Nt5c"
"Nt5c1a"
"Nt5c1b"
"Nt5c2"
"Nt5c3"
"Nt5e"
"Nt5m"
"Pnp"
"Slc27a2"
