M-1,M-2,M-3,M-4,M-5,M-6,M-7,M-8,M-9,M-10,M-11,M-12,M-13,M-14,M-15,M-16,M-17,M-18,M-19,M-20,M-21,M-22,M-23,M-24,M-25,M-26,M-27,M-28,M-29,M-30,M-31,M-32,M-33,M-34,M-35,M-36,M-37,M-38,M-39,M-40,M-41,M-42,M-43,M-44,M-45,M-46,M-47,M-48,M-49,M-50,M-51,M-52,M-53,M-54,M-55,M-56,M-57,M-58,M-59,M-60,M-61,M-62,M-63,M-64,M-65,M-66,M-67,M-68,M-69,M-70,M-71,M-72,M-73,M-74,M-75,M-76,M-77,M-78,M-79,M-80,M-81,M-83,M-84,M-85,M-87,M-88,M-89,M-90,M-91,M-92,M-93,M-94,M-95,M-96,M-97,M-98,M-99,M-100,M-101,M-102,M-103,M-105,M-106,M-107,M-108,M-109,M-110,M-111,M-112,M-113,M-114,M-115,M-116,M-117,M-118,M-119,M-120,M-121,M-122,M-123,M-124,M-125,M-126,M-127,M-128,M-129,M-130,M-131,M-132,M-133,M-134,M-135,M-136,M-137,M-138,M-139,M-140,M-141,M-142,M-143,M-144,M-145,M-146,M-147,M-148,M-149,M-150,M-151,M-152,M-153,M-154,M-155,M-156,M-157,M-158,M-159,M-160,M-161,M-162,M-163,M-164,M-165,M-166,M-167,M-168,M-169,M-170,M-171
,Tpi1,Phb,Pgam2,,,,,,,,,,,,,,,,,,,,,Gsta3,,,,,Mat1a,Mtap,,Pfkm,Hsd11b2,Acat3,,,,,,,Aoc2,,,Nt5m,,,,,,,,Dbt,Aldh3a2,Dbt,Dbt,,Th,,Hadh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Idi2,,,,,,Man2a1,,Gcs1,,,,Pomt1,,,,,Dse,,,Gart,,Gm5566,,,Entpd8,Nt5m,Nme3,,,Nt5e,,Nt5m,,,Nt5c3b,Nt5e,,,Nt5m,Gm21685,,Nme4,Nt5c1b,,Nt5c1b,,,,Tk2,,Dpys,Nme5,Dpys,H2-Ke6,Akr1d1,Cyp11b1,,
,,Ppt1,Pgam1,,,,,,,,,,,,,,,,,,,,,Gsta4,,,,,Mat2a,Sms,,Pfkp,Hsd17b1,Acox1,,,,,,,Aoc3,,,Pnp,,,,,,,,Dld,Aldh7a1,Dld,Dld,,Tpo,,Hadha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mvd,,,,,,Man2a2,,,,,,Pomt2,,,,,,,,Nme1,,EG433968,,,F9,Pnp,Nme4,,,Nt5m,,Nudt2,,,Nt5e,Nt5m,,,Uck1,Entpd5,,Nme5,Nt5c2,,Nt5c2,,,,,,Mut,Nme6,Mut,Lss,Amacr,Cyp11b2,,
,,,Phb,,,,,,,,,,,,,,,,,,,,,Gsta1,,,,,Mat2b,LOC671878,,Pgd,Hsd17b12,Acox3,,,,,,,Smox,,,Pnp2,,,,,,,,Echs1,Aldh9a1,Echs1,Echs1,,Tyr,,Hsd17b10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mvk,,,,,,Mgat1,,,,,,,,,,,,,,Gm5566,,Nme2,,,Nme1,Pnp2,Nme5,,,Pnp,,Nudt5,,,Nt5m,Pnp,,,Uck2,Entpd6,,Nme6,Nt5c3,,Nt5c3,,,,,,Nt5c,Nme7,Upb1,Msmo1,Baat,Cyp17a1,,
,,,Pklr,,,,,,,,,,,,,,,,,,,,,Gm10639,,,,,,Srm,,Pgls,Hsd17b2,Acsbg1,,,,,,,,,,Tk1,,,,,,,,Ehhadh,Aox1,Ehhadh,Ehhadh,,,,Hsd17b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pmvk,,,,,,Mgat2,,,,,,,,,,,,,,EG433968,,Nme3,,,Gm5566,,Nme6,,,Pnp2,,Pnp,,,Nudt2,Pnp2,,,Uckl1,Entpd8,,Nme7,Nt5c3b,,Nt5c3b,,,,,,Nt5c1a,,,Nsdhl,Ch25h,Cyp19a1,,
,,,Pkm,,,,,,,,,,,,,,,,,,,,,Gm3776,,,,,,Tat,,Pgm2,Hsd17b6,Acsbg2,,,,,,,,,,Tk2,,,,,,,,Hadha,Bcat1,Hadh,Hadh,,,,Hykk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mogs,,,,,,,,,,,,,,Nme2,,Nme4,,,EG433968,,Nme7,,,,,Pnp2,,,Nudt5,,,,Upb1,Nme1,,,Nt5e,,Nt5e,,,,,,Nt5c1b,,,Rnf2,Cyp27a1,Cyp1a1,,
,,,Ppt1,,,,,,,,,,,,,,,,,,,,,Gsta2,,,,,,,,Pgm1,Hsd17b7,Acsl1,,,,,,,,,,Tymp,,,,,,,,Hmgcl,Bcat2,Hadha,Hadha,,,,Phykpl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gcs1,,,,,,,,,,,,,,Nme3,,Nme5,,,Nme2,,Nt5c,,,,,,,,Pnp,,,,Upp1,Gm5566,,,Nt5m,,Nt5m,,,,,,Nt5c1b,,,Sc5d,Cyp39a1,Cyp1a2,,
,,,,,,,,,,,,,,,,,,,,,,,,LOC100042295,,,,,,,,Pgm1,H2-Ke6,Acsl3,,,,,,,,,,Ecgf1,,,,,,,,Hmgcs1,Bckdha,Hadhb,Hadhb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stt3a,,,,,,,,,,,,,,Nme4,,Nme6,,,Nme3,,Nt5c1a,,,,,,,,Pnp2,,,,Upp2,EG433968,,,Uck1,,,,,,,,Nt5c2,,,Sqle,Cyp46a1,Cyp1b1,,
,,,,,,,,,,,,,,,,,,,,,,,,Gsta3,,,,,,,,Pgm2,Mast1,Acsl4,,,,,,,,,,Uck1,,,,,,,,LOC100040592,Bckdhb,LOC623031,LOC623031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stt3b,,,,,,,,,,,,,,Nme5,,Nme7,,,Nme4,,Nt5c1b,,,,,,,,,,,,Uprt,Nme2,,,Uck2,,,,,,,,Nt5c3,,,Tm7sf2,Cyp7a1,Cyp2a4,,
,,,,,,,,,,,,,,,,,,,,,,,,Gstk1,,,,,,,,Prps1,Mcat,Acsl5,,,,,,,,,,Uck2,,,,,,,,Hmgcs2,Dbt,Hsd17b10,Hsd17b10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nme6,,Nudt16,,,Nme5,,Nt5c1b,,,,,,,,,,,,,Nme3,,,Uckl1,,,,,,,,Nt5c3b,,,,Cyp7b1,Cyp2a5,,
,,,,,,,,,,,,,,,,,,,,,,,,Gstm2,,,,,,,,Prps1l1,Mecr,Acsl6,,,,,,,,,,Uckl1,,,,,,,,Ivd,Dld,Il4i1,Il4i1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nme7,,Nudt5,,,Nme6,,Nt5c2,,,,,,,,,,,,,Nme4,,,,,,,,,,,Nt5e,,,,Cyp8b1,Cyp2a4,,
