"age","entropy","type"
"3M",0.781851844876291,"Gene"
"12M",0.776448466207794,"Gene"
"15M",0.783688056094736,"Gene"
"18M",0.788699184769426,"Gene"
"21M",0.787116670709211,"Gene"
"26M",0.779122359919901,"Gene"
"28M",0.789354831754547,"Gene"
