"age","entropy","type"
"3M",0.804003807051897,"Gene"
"12M",0.788831574238069,"Gene"
"15M",0.803546128693931,"Gene"
"18M",0.809400280633788,"Gene"
"21M",0.806066917994251,"Gene"
"26M",0.790730770834569,"Gene"
"28M",0.805106366735582,"Gene"
