"age","entropy","type","age_numeric","region","cluster"
"6M",0.46406636228519,"Flux",6,"Thalamus",2
"18M",0.458456143619021,"Flux",18,"Thalamus",2
"21M",0.481065939302179,"Flux",21,"Thalamus",2
"3M",0.804003807051897,"Gene",3,"Thalamus",2
"12M",0.788831574238069,"Gene",12,"Thalamus",2
"15M",0.803546128693931,"Gene",15,"Thalamus",2
"18M",0.809400280633788,"Gene",18,"Thalamus",2
"21M",0.806066917994251,"Gene",21,"Thalamus",2
"26M",0.790730770834569,"Gene",26,"Thalamus",2
"28M",0.805106366735582,"Gene",28,"Thalamus",2
"6M",0.414874239306652,"Metabolite",6,"Thalamus",2
"15M",0.4108873676599,"Metabolite",15,"Thalamus",2
"21M",0.327328393569205,"Metabolite",21,"Thalamus",2
